noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,0.7026,0.3983,97,119,0.5546,805.82,764.94,118,13.3,7.5,118
0.0,Strogatz,0.8868,0.2528,13,14,0.7143,146.08,144.74,13,5.8,1.6,13
0.0,Black-box,0.3307,0.3686,75,138,0.1232,1152.57,704.38,111,32.8,27.5,111
0.001,Feynman,0.6859,0.4066,96,119,0.5462,824.66,778.73,119,13.6,7.6,119
0.001,Strogatz,0.8872,0.2528,13,14,0.7143,158.15,176.98,13,5.6,1.4,13
0.001,Black-box,0.321,0.3729,70,138,0.1232,1139.91,687.31,110,32.6,25.7,110
0.01,Feynman,0.7206,0.3822,99,119,0.5714,810.25,722.85,119,13.8,7.3,119
0.01,Strogatz,0.8936,0.2523,13,14,0.7857,137.23,156.97,13,5.6,1.2,13
0.01,Black-box,0.3293,0.3796,68,138,0.1087,1164.68,709.61,109,33.3,27.8,109
0.1,Feynman,0.5888,0.4012,89,119,0.3529,1129.3,665.94,119,15.5,8.0,119
0.1,Strogatz,0.7492,0.3947,11,14,0.6429,387.0,257.78,11,6.6,1.7,11
0.1,Black-box,0.249,0.3351,58,138,0.0652,1265.59,702.99,108,35.2,28.5,108
