dataset,algorithm,status,n_features,r2,rmse,complexity,complexity_unified,seconds,error,expr
1029_LEV,ITEARegressor,ok,4.0,0.3506483343395937,0.742757817289782,2.0,15.0,1716.9,,0.037*id(x_0 * x_2 * x_3) + 0.439*id(x_1) + 0.679
1030_ERA,ITEARegressor,ok,4.0,0.4565756356247931,1.3641489630412282,2.0,13.0,2253.2,,1.528*tanh(x_3) + 0.031*id(x_0 * x_1) + 1.361
1096_FacultySalaries,ITEARegressor,ok,4.0,0.8901418854900832,1.838612845270491,2.0,17.0,2250.7,,-9.48*exp(x_1**-1 * x_2) + 0.005*id(x_2 * x_3) + 56.823
1089_USCrime,ITEARegressor,ok,13.0,0.5823013939101106,22.866005995210863,2.0,53.0,2485.1,,-67.943*log(x_3 * x_4 * x_6**-1 * x_7**-1 * x_10 * x_11**-1 * x_12) + 0.001*sqrtabs(x_0 * x_1 * x_3**-1 * x_4 * x_5 * x_7 * x_9 * x_10 * x_11**-1 * x_12**-1) + 381.745
1028_SWD,ITEARegressor,ok,10.0,0.3023994123318168,0.6151248318440921,2.0,41.0,2664.9,,0.366*log(x_1 * x_2 * x_4 * x_5 * x_6 * x_7 * x_8 * x_9) + 0.279*cos(x_1**-1 * x_2 * x_3 * x_4 * x_7**-1 * x_8 * x_9) + 1.903
1027_ESL,ITEARegressor,ok,4.0,0.9063634973708146,0.477831819797516,2.0,25.0,2664.1,,0.399*sqrtabs(x_1 * x_2 * x_3) + 1.345*cos(x_0**-1 * x_1 * x_2 * x_3**-1) + -0.48
1191_BNG_pbc,ITEARegressor,ok,18.0,0.0096485025523956,1043.0201040683037,2.0,63.0,2822.4,,18.487*sqrtabs(x_2 * x_4 * x_5 * x_8**-1 * x_9 * x_10 * x_12**-1 * x_13**-1 * x_14 * x_15 * x_16**-1 * x_17) + -980.255*tanh(x_0**-1 * x_8 * x_10**-1 * x_11 * x_12**-1 * x_13 * x_15**-1 * x_16) + 2227.119
1193_BNG_lowbwt,ITEARegressor,ok,9.0,0.6079378782042014,494.54089488573294,2.0,23.0,2130.1,,-2578.848*sqrtabs(x_0 * x_1 * x_2**-1) + 1094.009*sin(x_1**-1 * x_7 * x_8) + 3203.29
1196_BNG_pharynx,ITEARegressor,ok,10.0,0.2924391130787263,285.0533224070408,2.0,35.0,1836.3,,-684.387*tanh(x_0**-1 * x_4**-1 * x_9**-1) + 824.986*tanh(x_2**-1 * x_6**-1 * x_7**-1 * x_9**-1) + 298.82
1203_BNG_pwLinear,ITEARegressor,ok,10.0,0.1916404360505145,3.8255269915228367,2.0,17.0,1747.1,,-2.388*exp(x_0**-1) + -2.155*sin(x_0**-1 * x_2) + 3.271
1199_BNG_echoMonths,ITEARegressor,ok,9.0,0.2750921208689525,12.049072614112852,2.0,33.0,2013.1,,-0.275*sqrtabs(x_0 * x_1 * x_4 * x_5) + -335.529*sqrtabs(x_4**-1 * x_5**-1 * x_6**-1 * x_7**-1 * x_8) + 31.323
1201_BNG_breastTumor,ITEARegressor,ok,9.0,0.0440217678842294,11.893974844457224,2.0,23.0,1862.4,,12.287*sin(x_2 * x_4 * x_5 * x_7 * x_8) + 272.339*tanh(x_0**-1 * x_3) + 23.028
1595_poker,ITEARegressor,ok,10.0,-0.2747656146475796,1.4684663815483985,2.0,33.0,1590.0,,0.0*id(x_1 * x_3 * x_5 * x_7 * x_9**-1) + 0.0*id(x_0 * x_2 * x_3 * x_4 * x_6 * x_8 * x_9) + 0.301
192_vineyard,ITEARegressor,ok,2.0,0.7188933817494991,2.117247202636385,2.0,17.0,1755.3,,13.879*tanh(x_0 * x_1**-1) + -46.886*tanh(x_1**-1) + 19.446
197_cpu_act,ITEARegressor,ok,21.0,0.975819020377873,2.916363482573925,2.0,43.0,1956.8,,-90.648*tanh(x_2**-1 * x_3**-1 * x_4**-1 * x_5 * x_7 * x_8 * x_14 * x_16 * x_18 * x_19**-1 * x_20**-1) + -0.019*sqrtabs(x_2 * x_16) + 95.982
210_cloud,ITEARegressor,ok,5.0,0.9416263010604284,0.2768969224938489,2.0,19.0,1576.7,,0.926*sqrtabs(x_2 * x_3) + 0.006*exp(x_2 * x_3 * x_4**-1) + -0.006
215_2dplanes,ITEARegressor,ok,10.0,0.3729504745583889,2.8477613664799284,2.0,11.0,1518.7,,4.793*tanh(x_0) + 1.762*id(x_4) + -0.012
218_house_8L,ITEARegressor,ok,8.0,0.3542091330895488,35774.1562192784,2.0,35.0,1706.2,,175761.562*sqrtabs(x_1 * x_2 * x_3**-1 * x_6) + 27737.639*sin(x_0 * x_2**-1 * x_3**-1 * x_4 * x_6**-1 * x_7) + 24994.313
201_pol,ITEARegressor,timeout,,,,,,,wall clock > 3900s,
225_puma8NH,ITEARegressor,ok,8.0,0.1794229147423632,4.970371543092497,2.0,21.0,1983.3,,3.767*sin(x_1) + 3.575*cos(x_1 * x_3 * x_4 * x_6 * x_7**-1) + -0.729
227_cpu_small,ITEARegressor,ok,12.0,0.8081494490913916,8.214596415593697,2.0,47.0,1857.2,,-5.731*sqrtabs(x_0 * x_2 * x_4 * x_5 * x_7 * x_8**-1 * x_9**-1 * x_10**-1 * x_11**-1) + 2.236*log(x_2**-1 * x_5**-1 * x_9**-1 * x_11) + 75.06
228_elusage,ITEARegressor,ok,2.0,0.5301592207769623,11.090263420479632,2.0,11.0,1556.2,,5.703*cos(x_1) + -73.759*log(x_0) + 335.08
229_pwLinear,ITEARegressor,ok,10.0,0.4945829243501788,2.5311739140165197,2.0,13.0,1772.1,,-4.013*tanh(x_0**-1) + 2.496*tanh(x_4) + -0.25
230_machine_cpu,ITEARegressor,ok,6.0,0.9386538815455708,44.64935975712283,2.0,25.0,1831.7,,0.003*sqrtabs(x_1 * x_2 * x_5) + 14787.286*tanh(x_0**-1 * x_2**-1 * x_3 * x_4) + 11.096
