noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,0.8895,0.224,115,119,0.7647,20.61,8.41,119,1821.9,252.9,119
0.0,Strogatz,0.714,0.3697,12,14,0.4286,13.79,3.34,14,1651.2,155.7,14
0.0,Black-box,0.3486,0.3595,89,138,0.1232,32.5,28.02,112,2211.3,560.2,112
0.001,Feynman,0.8898,0.2199,116,119,0.7731,22.48,7.26,119,1858.9,242.7,119
0.001,Strogatz,0.714,0.3697,12,14,0.4286,14.29,2.58,14,1644.7,127.6,14
0.001,Black-box,0.3672,0.3579,92,138,0.1449,28.56,26.26,108,2137.7,473.9,108
0.01,Feynman,0.8934,0.2155,116,119,0.7815,22.55,7.48,119,1865.5,232.6,119
0.01,Strogatz,0.714,0.3695,12,14,0.4286,14.29,2.58,14,1635.6,122.5,14
0.01,Black-box,0.3538,0.366,84,138,0.1304,31.93,27.03,112,2188.6,551.4,112
0.1,Feynman,0.8887,0.2113,116,119,0.7395,22.48,7.42,119,1862.1,210.1,119
0.1,Strogatz,0.7125,0.367,12,14,0.4286,14.0,1.96,14,1640.5,125.5,14
0.1,Black-box,0.3412,0.355,87,138,0.1014,32.41,28.06,112,2213.4,573.7,112
