dataset,algorithm,status,n_features,r2,rmse,complexity,complexity_unified,seconds,error,expr
1027_ESL,MRGPRegressor,ok,4.0,-0.1153502363005529,1.6491422061772805,437.0,145.0,3011.0,,"mul(add(X1, X1), mul(mul(div(cos(div(square(log(quart(div(square(sub(X4, X3)), exp(mul(X1, mul(div(cos(square(add(X4, X2))), sin(sub(X1, div(sqrt(exp(sin(sqrt(X2)))), square(cube(add(sqrt(X4), mul(sin(add(add(sub(sub(div(square(X2), cube(quart(sub(X3, mul(X3, X1))))), add(mul(log(add(X1, div(square(sub(X4, X2)), X2))), add(log(X2), div(X2, X4))), X1)), div(X1, cube(quart(sub(cube(X3), mul(quart(sub(X4, X3)), X1)))))), square(add(sqrt(X3), mul(quart(X3), cos(X1))))), exp(mul(X3, mul(X4, X2))))), cos(X1))))))))), cos(X4)))))))), log(exp(mul(mul(X3, X3), X2))))), sin(sub(X1, div(sqrt(exp(sin(sqrt(X2)))), square(cube(add(sqrt(X4), mul(X2, cos(X1))))))))), cos(cube(sub(X3, mul(exp(X4), cube(sqrt(mul(X4, X1)))))))), X2))"
1030_ERA,MRGPRegressor,ok,4.0,0.1847455829620051,1.6708552378063486,347.0,115.0,3036.0,,"sub(mul(div(X1, cube(square(div(X3, X4)))), add(X2, mul(cos(quart(X1)), cube(quart(X1))))), div(sub(cos(div(div(X4, X1), cos(X1))), sub(sin(log(sin(div(X1, add(cos(X1), log(X4)))))), div(sub(cos(div(div(X4, X1), cos(X2))), sub(sin(log(sin(div(X1, X3)))), sin(div(X2, log(X1))))), log(sin(add(add(exp(log(quart(X1))), div(quart(sin(div(X2, X1))), quart(quart(sin(div(X2, X1)))))), quart(exp(log(X4))))))))), log(sin(add(add(exp(log(quart(sin(div(X2, div(cube(cos(X2)), log(quart(X3)))))))), div(X2, quart(exp(log(quart(sin(div(log(X2), X1)))))))), quart(exp(log(X4))))))))"
1089_USCrime,MRGPRegressor,ok,13.0,-0.5612847784340305,44.20789772659177,107.0,35.0,3000.7,,"div(mul(X3, X6), mul(sub(div(div(X4, X7), exp(square(X8))), sin(log(cos(div(X13, X12))))), add(div(quart(cos(X10)), exp(cos(mul(X1, X3)))), div(cos(cube(X9)), quart(X5)))))"
1028_SWD,MRGPRegressor,ok,10.0,-0.0443360184461409,0.7526273024579874,452.0,150.0,3072.8,,"div(div(log(cube(square(sin(X9)))), mul(log(exp(mul(X3, add(div(sub(X7, X3), cos(cube(X4))), sub(exp(sub(sin(log(X5)), exp(cube(X3)))), div(sin(cos(mul(X10, X8))), log(mul(div(quart(cos(mul(mul(X1, X7), X6))), log(X3)), square(div(sub(div(cube(div(square(X7), square(X3))), div(div(X1, X9), add(X5, quart(div(X8, cos(X4)))))), cube(X7)), exp(quart(X10)))))))))))), add(sin(sin(X3)), sub(mul(X8, X1), div(sqrt(X10), mul(cube(log(mul(cos(sqrt(sqrt(X7))), square(X3)))), sqrt(div(square(mul(X2, X8)), cos(div(X9, X5)))))))))), mul(exp(mul(cos(add(X8, X4)), quart(exp(quart(cos(add(X2, add(X5, X3)))))))), quart(add(mul(add(X7, mul(X5, square(mul(div(X10, X3), mul(X9, mul(sqrt(mul(X3, X9)), mul(exp(sin(X5)), sqrt(log(X3))))))))), mul(X3, X4)), X10))))"
1096_FacultySalaries,MRGPRegressor,ok,4.0,-0.1237776725707806,5.880502230739246,104.0,34.0,3014.1,,"div(cube(sin(div(cube(exp(quart(quart(sub(X3, X2))))), mul(X4, cube(log(X2)))))), mul(mul(mul(X2, cube(log(cos(X4)))), exp(quart(sub(X3, X2)))), log(cos(exp(cube(X2))))))"
1029_LEV,MRGPRegressor,ok,4.0,0.4720690129555175,0.6697239480509805,410.0,136.0,3128.5,,"div(div(cube(mul(sub(div(exp(sin(X4)), div(cos(sin(sqrt(sin(add(sqrt(exp(add(cube(X3), X4))), div(div(div(X2, X1), log(X2)), div(X3, add(X1, div(div(add(mul(sub(cube(X4), X3), X4), X2), square(X1)), div(sqrt(sqrt(X2)), quart(div(mul(sqrt(X4), sin(add(quart(X3), X1))), X2)))))))))))), add(div(add(X3, log(X2)), sub(sub(exp(X2), square(exp(X4))), X3)), sqrt(X2)))), div(cube(add(X1, X2)), cos(log(X3)))), exp(X4))), square(X1)), div(sqrt(X4), quart(div(mul(div(div(add(mul(div(add(X3, X2), X2), X4), X2), square(X1)), div(sqrt(X4), quart(div(mul(sqrt(X4), sin(add(X2, X1))), div(cube(X3), sqrt(X2)))))), sin(X1)), div(cube(mul(sin(X2), add(X1, X3))), div(X2, X3))))))"
1191_BNG_pbc,MRGPRegressor,ok,18.0,-1.0026566497237663,1483.20522487298,341.0,113.0,3102.8,,"mul(exp(square(mul(X11, X6))), add(quart(mul(cos(sin(mul(mul(X13, div(mul(cos(sin(mul(mul(div(sqrt(X11), sin(X9)), X9), quart(X11)))), cube(div(cos(add(cos(quart(X15)), div(X7, quart(X11)))), cos(cube(X7))))), sub(mul(mul(X17, cube(div(X8, X17))), log(X1)), mul(mul(add(div(X11, cube(mul(cube(X2), cube(X18)))), quart(X6)), sin(quart(X12))), log(square(log(X11))))))), quart(X11)))), cube(div(cos(cos(sin(mul(mul(X13, X9), sqrt(add(log(div(square(mul(div(add(X9, X1), quart(X11)), sin(cos(X6)))), square(mul(sin(X9), X6)))), mul(X1, cos(X11)))))))), cos(cube(X13)))))), cos(sqrt(X1))))"
1193_BNG_lowbwt,MRGPRegressor,ok,9.0,-1.0073263563489547,1119.0094673452102,452.0,150.0,3312.8,,"div(cos(add(add(sin(mul(sin(X6), quart(div(sin(log(div(cos(add(add(div(div(cos(X3), X1), log(X2)), log(X4)), cube(X9))), div(mul(cos(div(X5, log(X2))), mul(exp(cube(cos(X9))), sub(X8, X9))), cos(square(mul(X4, X9))))))), sin(div(X4, quart(X1))))))), sub(log(quart(X3)), sqrt(div(sub(X8, X9), X8)))), cube(mul(X1, X3)))), div(mul(cos(div(exp(X9), X8)), mul(sqrt(mul(sub(div(sin(quart(X1)), div(sqrt(sqrt(add(X9, X4))), div(quart(square(log(div(sqrt(exp(cube(X4))), mul(sqrt(mul(log(X2), exp(X3))), mul(sin(X6), quart(div(sin(log(X9)), cos(X4))))))))), cos(div(log(div(X2, X7)), sin(mul(X1, X9))))))), exp(cube(X2))), sin(square(div(log(log(div(mul(sqrt(cos(log(X2))), X1), log(X2)))), sqrt(X1)))))), sub(X8, X1))), cos(square(mul(X4, X9)))))"
1196_BNG_pharynx,MRGPRegressor,ok,10.0,-1.9811402852236792,585.1071498394687,401.0,133.0,3361.3,,"mul(mul(sub(log(add(cos(X5), cube(X10))), mul(log(log(X8)), mul(log(sub(square(div(sub(div(X5, X8), cube(X7)), mul(div(quart(mul(mul(X6, div(X1, log(sub(square(sin(quart(X5))), cube(X4))))), X8)), cube(exp(mul(X9, log(square(log(X7))))))), square(div(quart(cos(div(X10, X9))), div(exp(X9), cube(div(cube(X1), sin(mul(X10, X8)))))))))), cube(sin(square(square(div(mul(X6, div(X8, X3)), sin(mul(X10, X8))))))))), div(X1, X3)))), mul(mul(add(div(X3, X1), quart(X5)), sin(quart(sqrt(X1)))), log(log(sub(X7, cube(sin(square(square(div(mul(X6, div(X1, X3)), sin(mul(X10, X8)))))))))))), square(div(sub(div(X9, X8), add(log(div(div(X9, X8), X7)), sin(square(X4)))), exp(quart(X10)))))"
1203_BNG_pwLinear,MRGPRegressor,ok,10.0,-0.2172654326197991,4.694416565608552,452.0,150.0,3209.5,,"mul(mul(sub(log(add(sub(cos(mul(sub(X5, cube(cube(X1))), sub(add(square(X6), add(X3, X2)), cos(mul(div(X7, cube(mul(cos(X1), quart(mul(X1, X3))))), sin(X2)))))), div(quart(quart(exp(sub(X8, X5)))), div(quart(log(quart(X5))), sub(cos(mul(sub(div(quart(quart(exp(sub(X8, X5)))), div(quart(log(X10)), square(sub(sub(X2, X5), exp(X9))))), cube(cube(X1))), sub(add(X3, add(sub(quart(cube(cos(div(div(X1, X7), X2)))), log(X9)), X2)), cos(add(X10, X5))))), div(quart(quart(X2)), div(quart(sqrt(square(X5))), square(sub(sub(mul(X6, sin(X2)), div(X2, X1)), X4)))))))), cube(X10))), exp(X9)), mul(mul(add(div(X3, X1), quart(X10)), sin(quart(X6))), log(X5))), cube(cube(sub(cos(sub(exp(X9), div(quart(quart(square(sub(sub(X2, X5), X4)))), div(X7, mul(X1, X3))))), X5))))"
1199_BNG_echoMonths,MRGPRegressor,ok,9.0,-0.8119738932698854,19.049701709179228,443.0,147.0,3504.9,,"sub(log(add(cos(cube(cube(X7))), mul(mul(sin(X4), X8), mul(div(cube(cube(cube(sin(X5)))), quart(mul(cube(X7), add(cube(cube(cube(sin(X2)))), sin(mul(sub(X9, X1), mul(X2, div(X5, sqrt(log(X7)))))))))), div(sub(log(add(square(quart(cube(add(cube(cube(cube(sin(X2)))), mul(X8, X1))))), mul(mul(sin(X4), X8), mul(div(X6, X1), log(div(X9, X7)))))), mul(mul(add(div(sqrt(mul(sin(mul(sub(X9, X1), mul(X2, X4))), div(X5, mul(X1, cube(X9))))), quart(X6)), div(exp(X9), cube(square(X7)))), log(square(log(X8)))), log(quart(sqrt(X9))))), X9))))), mul(mul(add(sqrt(X6), sin(quart(X3))), log(square(mul(X3, div(log(log(quart(cube(sin(X5))))), mul(X1, cube(X8))))))), log(add(mul(sin(X8), X9), mul(log(log(X4)), log(div(exp(X9), cube(square(X6)))))))))"
1201_BNG_breastTumor,MRGPRegressor,ok,9.0,-1.9281406878893623,20.816081693588927,446.0,148.0,3354.8,,"add(div(sqrt(log(sin(sqrt(log(div(X7, div(exp(sin(X5)), cos(div(mul(X1, X9), sub(X4, X8)))))))))), quart(sub(sin(add(square(X7), X9)), X8))), mul(log(div(X3, X4)), log(mul(log(square(mul(log(log(X5)), div(cos(add(mul(cos(div(X6, X8)), X7), cube(mul(X1, X3)))), div(mul(cos(cube(X7)), mul(sqrt(X4), sub(log(log(exp(div(square(sin(X7)), quart(quart(X5)))))), exp(X5)))), cos(square(mul(X4, X9)))))))), mul(log(mul(div(log(div(quart(sub(sin(add(div(mul(cos(div(X5, log(div(sqrt(mul(sin(X5), cube(X3))), mul(exp(mul(X6, X2)), exp(quart(X7))))))), mul(sqrt(X2), sub(X8, log(exp(div(X3, quart(quart(X5)))))))), cos(square(mul(X4, X9)))), X9)), add(add(X3, X9), X1))), X7)), cos(div(X5, X8))), cube(sub(div(X2, X3), X3)))), exp(X3))))))"
1595_poker,MRGPRegressor,ok,10.0,-2.762082988893037,2.5226849950026384,434.0,144.0,3351.2,,"add(div(mul(sqrt(mul(sub(div(mul(X4, X3), mul(sub(X3, square(cos(X10))), add(div(mul(sqrt(mul(sub(X8, X7), quart(X7))), sin(X8)), add(div(mul(sqrt(mul(sub(div(X4, mul(sub(log(mul(log(sub(X9, X7)), X7)), X7), sub(X9, X7))), X7), quart(X2))), sin(X8)), div(cube(X7), quart(quart(mul(cos(mul(X9, X1)), log(sub(add(X3, div(sub(X9, X3), X7)), X7))))))), mul(square(cos(X5)), square(cube(mul(exp(sub(exp(sqrt(sub(X9, X7))), X9)), X1)))))), mul(square(cube(mul(exp(sin(sqrt(add(X3, X5)))), cos(quart(sub(X9, X3)))))), quart(quart(X9)))))), X7), quart(X4))), sin(X8)), div(cube(X7), quart(quart(sub(X9, X7))))), mul(square(cos(X5)), square(cube(mul(exp(sub(exp(sqrt(sub(X9, X7))), cos(cube(mul(X5, exp(add(X4, X8))))))), X1)))))"
192_vineyard,MRGPRegressor,ok,2.0,-3.72913565663352,8.684142044274274,119.0,39.0,3032.5,,"div(add(sqrt(cos(cos(X1))), sin(cube(square(X2)))), add(quart(log(cos(cube(X1)))), mul(cube(div(log(X2), quart(cube(X2)))), mul(sqrt(div(exp(sub(X2, sqrt(log(cos(cube(X1)))))), quart(square(X1)))), X2))))"
197_cpu_act,MRGPRegressor,ok,21.0,0.5117839212468538,13.10420701072156,446.0,148.0,3034.1,,"div(div(mul(X18, mul(div(div(log(add(cube(X3), div(X2, div(X6, X17)))), mul(add(add(X6, sqrt(X20)), X8), quart(quart(cos(quart(X21)))))), mul(sub(X12, cos(quart(X11))), div(mul(X6, X14), exp(log(X3))))), div(X3, mul(sin(quart(X1)), X9)))), mul(sin(quart(mul(sin(quart(X21)), quart(cos(add(mul(X9, sin(X21)), square(quart(X11)))))))), quart(cos(add(mul(add(X18, div(X17, X18)), X21), square(X18)))))), mul(cos(mul(sin(X7), sin(mul(X21, sin(X8))))), div(square(square(div(div(log(add(X19, div(mul(add(X6, div(X17, X18)), sin(X7)), mul(X12, sin(X11))))), mul(add(add(X6, sqrt(X20)), mul(X17, X8)), X21)), mul(sub(X12, X8), div(square(quart(X21)), exp(log(X3))))))), div(div(log(add(mul(X7, X11), div(X2, X3))), mul(X17, X20)), div(sin(quart(X21)), sin(X8))))))"
201_pol,MRGPRegressor,ok,48.0,0.3048496060221809,33.38193954164741,449.0,149.0,3248.8,,"sub(div(X6, sqrt(div(sub(mul(sin(div(mul(X26, X7), div(sqrt(mul(X19, X5)), X7))), X39), mul(cos(mul(X19, X13)), sin(log(mul(sqrt(X19), X20))))), div(sqrt(mul(X19, sqrt(mul(X5, X5)))), cube(square(sin(div(quart(X7), div(sqrt(mul(X19, X5)), cube(sub(div(X33, div(quart(log(X7)), div(sqrt(mul(X19, X6)), cube(X5)))), sin(mul(X8, X6))))))))))))), sqrt(div(sub(mul(sin(quart(X30)), quart(sin(div(square(X7), div(sqrt(mul(X19, X5)), cube(sub(X14, sqrt(X5)))))))), mul(cos(mul(X19, X13)), sin(log(mul(sqrt(X19), cube(sub(X14, X6))))))), div(sqrt(mul(X19, mul(X8, X6))), cube(square(sin(div(quart(log(div(sqrt(mul(X19, X5)), div(sqrt(X24), mul(X19, X5))))), div(mul(X8, X6), cube(sub(div(X33, div(quart(log(X7)), div(sqrt(X29), cube(X5)))), sin(mul(X8, X6)))))))))))))"
210_cloud,MRGPRegressor,ok,5.0,-0.5634575030064444,1.433021025394593,230.0,76.0,3007.0,,"div(div(sub(div(cos(div(mul(X5, X3), div(sin(X3), exp(cube(X4))))), X2), add(div(div(X4, exp(div(sin(cube(X4)), X3))), log(mul(square(square(div(X3, exp(cube(X4))))), X4))), sin(X4))), div(sin(quart(X5)), div(X3, square(div(X3, X4))))), div(sqrt(mul(cube(div(div(sqrt(X5), quart(quart(X4))), square(sin(exp(X4))))), mul(square(X5), sin(X3)))), div(X3, square(div(X3, square(cube(X4)))))))"
215_2dplanes,MRGPRegressor,ok,10.0,0.6345455860196545,2.1740487487592355,449.0,149.0,3028.6,,"mul(mul(X8, mul(mul(add(div(X3, X2), quart(X10)), sin(quart(X6))), add(X8, X3))), add(div(div(mul(X6, X2), sub(div(X5, X1), X5)), X4), add(div(div(mul(sub(X4, cos(mul(mul(sub(log(add(cos(X4), div(mul(X6, X10), sub(div(X5, X6), X9)))), mul(X3, X2)), mul(mul(mul(X9, X9), X9), X7)), add(div(X2, X1), exp(X4))))), mul(mul(add(X1, quart(X10)), X7), mul(sub(log(mul(X7, X6)), cos(mul(X2, mul(X4, X6)))), mul(mul(add(div(X3, X1), quart(X10)), sin(X7)), log(add(sub(div(X5, X1), X5), quart(X10))))))), X10), div(X6, div(X3, cube(mul(X1, X2))))), div(div(square(X7), sub(div(X5, add(div(div(mul(X6, X2), log(add(square(X7), X6))), sub(mul(add(X8, X9), cube(X5)), X4)), X2)), X5)), div(X3, div(quart(X5), X1))))))"
218_house_8L,MRGPRegressor,ok,8.0,-0.7583050389341395,59029.697835168205,383.0,127.0,3079.4,,"add(cos(mul(cos(sqrt(quart(X7))), quart(cos(quart(exp(X2)))))), mul(div(mul(sin(mul(mul(add(square(X3), X2), quart(sqrt(X4))), square(X8))), sqrt(log(X4))), sub(div(div(mul(cos(div(log(cos(X2)), add(square(X2), cube(X1)))), sqrt(mul(div(sin(X3), log(X2)), cube(X3)))), div(cube(X1), square(log(sin(exp(mul(square(X3), cos(sqrt(sub(X2, add(quart(div(cos(sqrt(X6)), cube(quart(X2)))), cos(add(sub(sqrt(exp(mul(X7, X6))), div(sqrt(div(X2, mul(log(square(sub(sqrt(X1), X2))), sqrt(add(X7, X3))))), cube(exp(X6)))), sub(sqrt(quart(square(X2))), X8)))))))))))))), exp(square(X3))), square(add(X8, X2)))), div(sin(quart(cos(X6))), sqrt(mul(div(X5, X1), sin(X3))))))"
225_puma8NH,MRGPRegressor,error,,,,,,,ValueError: Input contains NaN.,
227_cpu_small,MRGPRegressor,ok,12.0,-0.7182192148438509,24.583515705387374,428.0,142.0,3029.4,,"add(log(sub(mul(div(X6, quart(X8)), div(X10, quart(cube(sin(cube(X3)))))), div(sin(sub(X12, sqrt(sqrt(X1)))), sub(mul(sin(cube(X12)), div(cos(X8), log(X11))), cos(square(sin(X10))))))), div(div(log(log(X7)), div(X10, quart(sub(div(sqrt(cos(sqrt(X6))), cos(sqrt(square(X11)))), div(cube(sqrt(add(log(X6), X5))), quart(exp(X3))))))), add(log(sub(mul(X2, div(div(sin(X6), sub(mul(sin(cube(X3)), cos(X8)), cos(div(X6, X10)))), quart(cube(X12)))), div(X4, sub(mul(sqrt(X6), div(sin(cube(X8)), log(X11))), cube(X3))))), div(div(log(log(add(X3, mul(X7, X3)))), div(sqrt(cos(square(cube(X3)))), quart(div(div(sqrt(X2), cos(sqrt(div(cube(sqrt(add(X8, X5))), quart(X9))))), cos(X7))))), mul(mul(cube(X4), sub(X9, X10)), cos(X5))))))"
228_elusage,MRGPRegressor,ok,2.0,-0.6452984310816638,20.75338054239267,122.0,40.0,3004.6,,"div(div(mul(mul(quart(square(X1)), cos(add(X2, X1))), log(log(X2))), mul(cos(mul(div(X2, X1), sqrt(X2))), quart(quart(cos(X1))))), square(div(quart(div(cos(X1), X1)), log(cos(sin(mul(quart(X1), X2)))))))"
229_pwLinear,MRGPRegressor,ok,10.0,-0.2905127503592988,4.044624243002565,434.0,144.0,3164.7,,"mul(mul(sub(log(add(cos(mul(add(div(X3, X1), quart(sqrt(X5))), sin(mul(div(X5, quart(cube(sin(cos(X2))))), add(X9, X1))))), cube(quart(cos(square(mul(div(X5, mul(X1, X6)), div(X7, log(quart(cube(sin(div(sqrt(X5), mul(X2, X1)))))))))))))), mul(log(log(X8)), mul(div(X3, add(X1, X8)), sin(X2)))), mul(mul(add(X7, quart(X10)), sin(mul(div(X5, mul(X9, X3)), add(X9, X1)))), log(sub(cos(mul(sub(X5, cube(X5)), sub(add(X6, X1), cos(sin(add(sub(X9, X7), add(X1, X8))))))), div(quart(X1), div(quart(X8), square(sub(sub(X1, X5), exp(X9))))))))), log(quart(cube(sin(add(X6, add(X3, cos(square(mul(div(X5, sin(div(sqrt(X5), mul(X2, X1)))), div(X4, log(quart(cube(sin(div(sqrt(X5), mul(add(X7, X8), X1)))))))))))))))))"
230_machine_cpu,MRGPRegressor,ok,6.0,-0.6367440578703791,230.6280238766828,407.0,135.0,3024.6,,"add(div(sqrt(log(sin(div(X6, div(X2, X4))))), quart(cube(X5))), mul(log(div(cube(mul(X1, X3)), div(mul(add(sin(X6), mul(X4, X4)), quart(square(mul(X3, X4)))), sin(add(sin(X6), mul(X5, X2)))))), log(mul(div(div(mul(add(log(div(mul(log(div(sub(square(sub(log(X6), X6)), mul(cube(sqrt(mul(sin(X3), X4))), X4)), exp(sin(X3)))), log(square(sub(log(X6), log(X4))))), div(sub(div(X6, cos(div(exp(cos(X1)), quart(cube(mul(X6, X2)))))), sub(sub(cos(div(div(mul(add(log(X4), mul(X4, X4)), X1), sin(add(sin(X6), mul(X6, X2)))), X4)), X6), sqrt(X3))), X4))), X3), quart(X2)), X6), sub(square(sub(log(X3), X5)), mul(cube(sqrt(sqrt(X1))), X4))), mul(log(X3), exp(X3))))))"
294_satellite_image,MRGPRegressor,ok,36.0,-0.9467888108635124,1.1123753719787437,434.0,144.0,3209.1,,"div(sin(sub(cos(mul(sub(X22, X8), div(X27, quart(div(X14, mul(sqrt(X23), X30)))))), add(sub(X18, add(X5, X24)), cos(quart(div(X14, mul(sqrt(X19), X30))))))), div(quart(quart(exp(sub(X30, X19)))), div(quart(sqrt(div(sin(sub(cos(mul(X29, add(X35, X11))), add(cube(X11), cos(add(X4, div(cos(X23), sqrt(cos(X35)))))))), div(quart(quart(exp(X22))), div(quart(X17), square(sub(sub(X24, X11), exp(X35)))))))), square(sub(sub(mul(sin(sqrt(sqrt(cos(X23)))), log(sin(X5))), div(quart(sqrt(square(X13))), square(sub(sub(sqrt(div(sin(sub(cos(mul(sub(mul(sin(sub(sqrt(cube(div(X14, X22))), X27)), square(X3)), X8), add(X35, X11))), add(cube(X11), cos(add(X4, sqrt(sqrt(cos(X23)))))))), div(quart(quart(exp(X22))), div(quart(X17), sin(X22))))), X11), exp(X35))))), exp(X35))))))"
344_mv,MRGPRegressor,ok,10.0,0.3954305651904487,7.081125471522273,443.0,147.0,3011.9,,"sub(mul(X4, div(cube(div(X6, X1)), X10)), sub(mul(quart(X8), div(cube(sub(mul(X2, div(cube(div(X6, X7)), X3)), sub(mul(X7, div(cube(sub(div(div(exp(add(X6, X1)), div(div(X6, X8), cube(X6))), X8), add(cos(sqrt(X2)), X4))), div(exp(mul(cos(X8), X1)), cube(exp(quart(X4)))))), sub(div(div(X6, quart(X10)), div(exp(X6), cube(cube(mul(X2, div(cube(div(X6, X8)), sqrt(cos(X4)))))))), div(div(X8, div(div(X6, X9), X1)), sub(X7, div(exp(mul(X6, X1)), cube(exp(quart(X4)))))))))), div(exp(mul(cos(X8), X1)), cube(exp(quart(X4)))))), sub(div(div(X6, quart(X8)), div(exp(mul(X4, X5)), cube(cube(mul(X2, div(cube(div(X6, X8)), sqrt(cos(X4)))))))), div(div(log(X7), div(div(X6, X3), cube(div(quart(X4), X8)))), sub(X6, X1)))))"
