noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,0.7711,0.3835,100,119,0.6975,117.46,32.37,115,2222.8,1006.8,115
0.0,Strogatz,0.9659,0.1081,14,14,0.9286,69.57,37.25,14,2372.9,989.1,14
0.0,Black-box,0.3658,0.3563,89,138,0.087,114.76,44.48,131,2952.7,624.3,131
0.001,Feynman,0.8145,0.3375,105,119,0.7227,117.95,29.19,118,2205.4,989.9,118
0.001,Strogatz,0.9169,0.257,13,14,0.8571,74.62,42.39,13,2138.7,1014.6,13
0.001,Black-box,0.3281,0.3508,82,138,0.1014,116.81,43.95,135,2946.6,637.8,135
0.01,Feynman,0.7338,0.3527,104,119,0.5378,135.39,12.32,116,2752.8,626.7,116
0.01,Strogatz,0.9633,0.0857,14,14,0.9286,91.79,39.24,14,2444.5,812.7,14
0.01,Black-box,0.3546,0.3576,88,138,0.1159,114.53,43.84,137,2957.9,597.0,137
0.1,Feynman,0.317,0.3451,73,119,0.0504,141.19,8.47,113,3085.1,94.2,113
0.1,Strogatz,0.516,0.3374,11,14,0.0714,136.57,11.78,14,3017.1,226.0,14
0.1,Black-box,0.2107,0.3059,60,138,0.0362,116.59,43.25,134,3092.3,470.8,134
