dataset,algorithm,status,n_features,r2,rmse,complexity,complexity_unified,seconds,error,expr
1028_SWD,OperonRegressor,ok,10.0,0.1854981888374742,0.6646696791448772,102.0,102.0,56.7,,((-0.1132795885) + (1.0014535189 * ((((((0.1757082343 * X8) - ((-0.4319272041) * X7)) - sin(((-0.1181697175) * X10))) - (((10.6550445557 * X9) / (110.5629348755 * X5)) - (exp((0.3505175710 * X9)) / (((((-0.1330120713) * X8) - ((-0.1275175661) * X7)) / (7.3479123116 * X4)) / (0.0017167539 * X2))))) - ((-0.2676677406) * X5)) - (((((((-1.0673953295) * X3) - ((-1.5972694159) * X7)) / (59.3591880798 * X4)) + (((-0.0336866975) * X4) - ((-0.0825111866) * X1))) + (((0.0039765351 * X8) - ((-0.0042586923) * X3)) / (0.6176517010 * X9))) + (((0.5460776687 * X3) + (0.0017167539 * X2)) - (((0.1605810672 * X6) + (0.1961327493 * X9)) - sin((33.8009796143 * X3))))))))
1030_ERA,OperonRegressor,ok,4.0,0.2050023595126333,1.6499666421127848,89.0,89.0,56.4,,(0.0000060919 + (1.0021454096 * ((((((((-0.0135251693) * X3) + (((-0.7638583779) * X2) + (0.5138041377 * X1))) - ((-0.0650558025) * X4)) + (-0.2645162642)) * cos(((((-1.3135021925) * X3) * ((0.5511652231 * X2) + (((-2.1976425648) * X2) + 1.8184958696))) + sin((((-0.4635164440) * X2) + 1.2074762583))))) - 0.9443287253) + (exp(sin(((1.1860111952 * X2) + ((-0.0220491700) * X1)))) + ((((-0.4989443421) * X2) + ((-0.1367304176) * X1)) + ((0.0997791886 * X4) + (sin(((0.4379957616 * X3) + ((0.6329223514 * X2) + (0.5269959569 * X1)))) + (sin((14.5746603012 * X1)) / ((-94.3588027954) * X2)))))))))
1027_ESL,OperonRegressor,ok,4.0,0.8805288845569494,0.5397391665391114,96.0,96.0,64.6,,((-0.0000000719) + (1.0000369549 * (((((((5.1237115860 + ((24.4426555634 * X3) + ((-18.3552818298) * X4))) + ((-9.1893434525) * X1)) * ((((0.0003826606 * X3) / ((-0.1235615090) * X4)) - (0.0026763901 * X3)) + ((-0.0212485418) + ((-0.0029220397) * X2)))) - ((-0.2174833864) * X2)) + (((-0.0084047997) * X2) / ((-0.2449353933) * X4))) - ((-0.8243920207) * X3)) + (((((-0.0006865015) * X4) + (0.0010700832 * X1)) / (((0.0039692111 * X3) / ((-0.0830989927) * X4)) - (0.0329718404 * X3))) - ((sin(((((0.0034122893 * X1) / ((-0.0852766708) * X4)) - (3.8501136303 * X3)) - (1.2290899754 + (0.0355061181 * X1)))) - (0.0627081841 * X1)) - 0.1404729635)))))
1089_USCrime,OperonRegressor,ok,13.0,-1.2584289933931374,53.1694319367798,90.0,90.0,35.1,,((-0.0001508620) + (0.9999611378 * (((cos((5.7076778412 * X4)) / (123.3730163574 * X12)) + ((0.0145804537 * X3) / (sin((((-16.8708667755) * X4) - (-38.6655082703))) * ((-0.5335168839) * X7)))) + ((((exp((0.6214463711 * X10)) - ((2.7643573284 * X4) - ((-2.6965780258) * X10))) / (18.4525623322 * X7)) + ((sin((((-17.0572395325) * X4) - (-37.9182891846))) * ((-0.2394250482) * X7)) + (((0.0831471086 * X3) / exp((1.9693266153 * X10))) - (((0.2483037859 * X4) - (((-0.0809773728) * X12) - (-0.1249902248))) + ((-0.0772413015) * X7))))) - ((0.8366257548 * X13) - ((-0.0113400361) / sin(sin(((-7.7086162567) * X13)))))))))
1029_LEV,OperonRegressor,ok,4.0,0.5476492860091535,0.6199331952772196,98.0,98.0,66.8,,(0.0000002427 + (0.9994544387 * ((((((0.0111031169 * X3) + ((-0.0042194240) * X4)) + ((0.0166255757 * X2) - (0.0021912721 * X1))) / cos(exp((((-0.4863930345) * X2) + ((-0.3440355659) * X4))))) - (((((0.2678239644 * X4) + (((-0.2866523564) * X2) + (-0.1850789338))) / (((0.2815360725 * X2) - (0.1443415433 * X1)) - (((-49.7544479370) * X3) + ((-23.7256660461) * X4)))) + ((-0.1136044413) * X3)) - (0.3114753366 * X4))) + ((0.5907130837 * X2) + (exp(((0.0401686914 * X4) + ((0.1691892743 * X2) - ((-0.3748902082) * X1)))) - (((((-2406.4301757812) * X3) + (-9.6738491058)) + ((32.6001167297 * X2) - ((-28.3138504028) * X1))) / ((-2018.4411621094) * X3)))))))
1096_FacultySalaries,OperonRegressor,ok,4.0,0.9627608526591062,1.0704689721950225,90.0,90.0,49.3,,((-0.0014083368) + (1.0020860434 * ((((sin((((-11.8145570755) * X3) - (4.6898241043 * X1))) / ((-138.1078796387) * X2)) * (((12.8198232651 * X2) + ((-13.8388500214) * X4)) - (0.3284567297 * X1))) + ((((-0.4132609963) * X2) - (((-1.0388123989) * X4) - 0.3266175687)) + (((((-0.0033881494) * X4) - ((-0.0009464916) * X1)) + 0.0061512669) * ((((35.2001991272 * X3) - 6.9180703163) + ((((-54.0694198608) * X2) + (14.7897300720 * X4)) - (0.5324567556 * X1))) / cos(((1.6637547016 * X4) - (-0.9623846412))))))) - sin((((((-7.6853613853) * X2) + (3.1594676971 * X4)) + (-0.9246968031)) - (((-4.2585487366) * X3) - 1.0918946266))))))
1191_BNG_pbc,OperonRegressor,ok,18.0,-0.1075777576090644,1103.0243782426962,92.0,92.0,75.0,,(0.0068829334 + (0.9904369712 * ((((((165.7654266357 + exp(((-6.7956519127) * X9))) - (((-257.4448852539) * X1) - (171.0702972412 * X9))) - ((40.5673217773 * X11) - ((-33.2287864685) * X6))) / (exp((16.3518867493 * X9)) + ((-143.3188018799) + ((-26.2917079926) * X1)))) - exp(((-0.1369917393) * X11))) - ((((-0.0468536764) * X6) + (0.1808016598 * X4)) + (((((-0.0152064227) * X12) - ((1.3858599663 + (1.4533826113 * X1)) + (0.0576875359 * X4))) * (exp(((-0.5076838136) * X9)) - ((-0.0693276599) * X15))) - (sin(((-2.4523057938) * X16)) * ((((-0.2156784534) * X12) - (0.0740422830 + (0.2924187481 * X1))) - (0.0720291138 * X9))))))))
1193_BNG_lowbwt,OperonRegressor,ok,9.0,0.5668540220340265,519.8067447988429,88.0,88.0,78.5,,((-0.0000001991) + (0.9982913733 * ((((exp(((-0.5989244580) * X4)) + (-3.0587756634)) + cos(cos(((-1.3023910522) * X2)))) - (((-0.3829276562) * cos((((-6.1972236633) * X4) + ((-4.1716833115) * X9)))) - (cos(cos((((-1.0825613737) * X2) * ((-4.5749983788) * X8)))) * ((cos(cos((4.1321940422 * X2))) * (cos(((-4.6329369545) * X8)) + ((0.8084119558 * X2) - ((-0.9182928801) * X1)))) + (0.7515341043 + (((0.8007863760 * X4) + (0.4706415832 * X9)) + (((-0.5702578425) * X2) - (1.7557028532 * X1)))))))) + (((0.1602584422 * X4) + ((-0.2434684634) * X9)) + cos(cos((4.5804686546 * X2)))))))
1196_BNG_pharynx,OperonRegressor,ok,10.0,-0.0069737532703628,340.0582173489647,100.0,100.0,81.3,,(0.0005608121 + (1.0008891821 * ((((0.3833822608 * X10) - ((-0.0248099510) * X5)) * (cos(((0.8362460136 * X10) - ((-2.4718406200) * X5))) + (((-0.1737611294) * X7) + ((-2.9308557510) * X10)))) - ((((((0.2139609158 * X9) + ((-0.3735416532) * X3)) * cos(((-6.4261698723) * X1))) - sin((cos(((1.2585664988 * X9) + ((-0.1145530492) * X1))) + ((1.1994603872 * X1) - (10.1275663376 * X10))))) * (((0.1272777617 * X9) + (0.5504761338 * X1)) - ((-0.3010467887) * X10))) - (((0.2537878752 * X9) + (0.2010756284 * X1)) - ((((-1.7986217737) * X10) - cos(((0.5702196360 * X7) + ((-0.2992610037) * X5)))) - (((-0.1380565763) * X8) + ((-0.1153934896) * X6))))))))
1199_BNG_echoMonths,OperonRegressor,ok,9.0,0.2830908715476915,11.982412512320025,100.0,103.0,57.8,,(0.0021760152 + (1.0430954695 * (cos((((((-1.5443754196) * X9) + (0.1915480047 * X5)) - (((((-0.3615846634) * X2) ^ 2) ^ 2) - ((0.7050400972 * X1) - ((-0.4644708037) * X4)))) + (1.0765844584 * X2))) + ((0.1282811612 * X6) + ((cos((((((-2.2820961475) * X9) + (0.1016663760 * X5)) - ((2.6553511620 * X1) - ((-0.1970363408) * X4))) + ((-0.8606837988) * X2))) + ((((-0.8653547168) * X9) + ((-0.2984308898) * X5)) + (((-0.2631478906) * X7) ^ 2))) + (((35.1659202576 * X6) + (((-83.3491439819) * X9) + (41.6594009399 * X5))) * ((((-2.9635856152) * X9) + ((-0.9970633388) * X7)) * (((0.0014444686 * X9) + (0.0005460678 * X5)) + ((-0.0013581221) * X1)))))))))
