noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,0.9539,0.2001,114,119,0.958,83.81,17.77,119,54.9,10.0,119
0.0,Strogatz,0.9997,0.0008,14,14,1.0,68.29,23.8,14,44.1,15.1,14
0.0,Black-box,0.6933,0.3931,109,138,0.5942,87.79,12.16,135,53.8,13.3,135
0.001,Feynman,0.969,0.1572,116,119,0.958,90.5,5.88,119,56.6,8.5,119
0.001,Strogatz,0.9997,0.0008,14,14,1.0,85.64,7.28,14,46.5,5.8,14
0.001,Black-box,0.6868,0.3907,114,138,0.5652,88.75,11.85,135,54.7,13.8,135
0.01,Feynman,0.9522,0.1855,116,119,0.9328,91.52,3.99,119,57.4,7.5,119
0.01,Strogatz,0.9998,0.0003,14,14,1.0,88.29,4.45,14,52.3,6.0,14
0.01,Black-box,0.6696,0.3976,110,138,0.5652,88.62,11.7,136,55.0,13.7,136
0.1,Feynman,0.8862,0.2353,113,119,0.8067,91.55,3.8,119,58.2,9.1,119
0.1,Strogatz,0.9431,0.1554,14,14,0.9286,88.64,6.26,14,50.2,5.2,14
0.1,Black-box,0.6013,0.4084,104,138,0.4275,88.59,11.31,136,53.7,13.0,136
