noise_strength,dataset,algorithm,status,n_features,r2,rmse,complexity,complexity_unified,seconds,error,expr
0.0,1027_ESL,ITEARegressor,ok,4.0,0.9064355228359438,0.4776480096439582,2.0,25.0,2841.3,,0.399*sqrtabs(x_1 * x_2 * x_3) + 1.341*cos(x_0**-1 * x_1 * x_2 * x_3**-1) + -0.477
0.001,1027_ESL,ITEARegressor,ok,4.0,0.9063634973708146,0.477831819797516,2.0,25.0,2664.1,,0.399*sqrtabs(x_1 * x_2 * x_3) + 1.345*cos(x_0**-1 * x_1 * x_2 * x_3**-1) + -0.48
0.01,1027_ESL,ITEARegressor,ok,4.0,0.9056565825832495,0.4796321392786393,2.0,25.0,2701.9,,0.4*sqrtabs(x_1 * x_2 * x_3) + 1.384*cos(x_0**-1 * x_1 * x_2 * x_3**-1) + -0.507
0.1,1027_ESL,ITEARegressor,ok,4.0,0.8960895125748504,0.5033640159342787,2.0,21.0,2710.9,,1.038*sqrtabs(x_2 * x_3) + 0.035*id(x_0 * x_1 * x_2**-1 * x_3) + -1.392
0.0,1027_ESL,MRGPRegressor,ok,4.0,0.1981568009797206,1.3982898327925612,449.0,149.0,3125.3,,"sub(div(square(sub(sub(mul(X2, X1), X4), add(X2, mul(X2, X3)))), cube(quart(sub(cube(X3), mul(sqrt(X2), X3))))), add(mul(log(cos(quart(square(cos(div(div(cube(cos(X2)), sub(cos(div(div(cube(X3), quart(sin(square(sub(cos(div(div(cube(cos(div(div(cube(cos(X2)), quart(sin(square(quart(X1))))), add(square(sub(X4, X3)), square(cos(div(X3, exp(mul(X1, square(X3)))))))))), quart(sin(square(sub(X4, X3))))), div(square(X1), add(cos(X2), log(quart(mul(sqrt(mul(mul(X2, X1), add(X1, X4))), cos(log(mul(X4, mul(X4, X2))))))))))), div(sqrt(sin(X3)), log(X3))))))), div(square(cube(X2)), cube(sub(X2, X4))))), div(X4, log(sub(X4, X3))))), div(square(X1), add(cos(X2), sub(add(X3, X1), mul(mul(X2, X4), quart(X3))))))))))), add(log(add(X2, X4)), div(X2, X4))), X1))"
0.001,1027_ESL,MRGPRegressor,ok,4.0,-0.5500782238459399,1.9441478187179957,452.0,150.0,3062.8,,"div(sub(sub(div(square(sub(sub(X2, X4), X3)), cube(quart(sub(cube(X3), mul(X4, X3))))), add(mul(log(add(log(div(X3, mul(mul(X2, X4), cube(X1)))), X2)), add(log(X2), div(X2, X4))), X1)), cube(mul(sin(sub(square(sub(div(square(sub(sub(X2, X4), X4)), cube(quart(sub(cube(X3), mul(cos(X1), X2))))), add(mul(cos(mul(X4, X2)), sub(square(X4), cube(X1))), X2))), div(X3, X1))), square(square(sqrt(mul(X3, sqrt(X4)))))))), div(add(sin(div(cos(quart(X4)), div(exp(mul(X2, X4)), X2))), mul(sin(sub(square(sub(div(square(sub(sub(X2, X4), X3)), cube(quart(sub(X1, mul(cos(X1), X2))))), add(mul(X3, add(log(X2), X1)), X1))), div(X1, cube(X1)))), square(sqrt(mul(X3, sqrt(X4)))))), mul(div(X1, log(square(cos(cube(mul(cos(X1), sub(quart(X3), cube(X1)))))))), X3)))"
0.01,1027_ESL,MRGPRegressor,ok,4.0,-0.1153502363005529,1.6491422061772805,437.0,145.0,3011.0,,"mul(add(X1, X1), mul(mul(div(cos(div(square(log(quart(div(square(sub(X4, X3)), exp(mul(X1, mul(div(cos(square(add(X4, X2))), sin(sub(X1, div(sqrt(exp(sin(sqrt(X2)))), square(cube(add(sqrt(X4), mul(sin(add(add(sub(sub(div(square(X2), cube(quart(sub(X3, mul(X3, X1))))), add(mul(log(add(X1, div(square(sub(X4, X2)), X2))), add(log(X2), div(X2, X4))), X1)), div(X1, cube(quart(sub(cube(X3), mul(quart(sub(X4, X3)), X1)))))), square(add(sqrt(X3), mul(quart(X3), cos(X1))))), exp(mul(X3, mul(X4, X2))))), cos(X1))))))))), cos(X4)))))))), log(exp(mul(mul(X3, X3), X2))))), sin(sub(X1, div(sqrt(exp(sin(sqrt(X2)))), square(cube(add(sqrt(X4), mul(X2, cos(X1))))))))), cos(cube(sub(X3, mul(exp(X4), cube(sqrt(mul(X4, X1)))))))), X2))"
0.1,1027_ESL,MRGPRegressor,ok,4.0,-0.0754833896310755,1.6194007216487258,449.0,149.0,3173.3,,"div(mul(log(sin(div(X2, X3))), mul(log(X4), log(log(log(div(cube(mul(sub(X4, X1), square(exp(X3)))), mul(log(sub(cos(sub(square(div(X3, X4)), cube(exp(add(square(X3), exp(X4)))))), X1)), log(cos(exp(X2)))))))))), square(exp(div(sqrt(exp(sin(sqrt(X2)))), square(cube(add(sqrt(X4), mul(quart(cube(mul(sqrt(sin(cos(div(X2, X3)))), cos(mul(mul(div(add(sqrt(X1), mul(X4, X1)), div(div(exp(X3), X2), X3)), mul(div(X1, sin(square(mul(div(X1, mul(cube(sqrt(X1)), div(quart(X4), X3))), mul(sin(X2), cube(cos(exp(X2)))))))), X2)), log(log(mul(mul(exp(mul(mul(X2, X4), X1)), sub(cube(square(X3)), quart(X3))), exp(mul(log(div(cube(mul(sub(X4, X3), square(exp(X3)))), mul(sin(X1), log(cos(exp(X2)))))), log(square(div(square(X3), X4))))))))))))), cos(X1)))))))))"
0.0,1027_ESL,OperonRegressor,ok,4.0,0.8620432970073082,0.5799945039199766,98.0,98.0,58.7,,(0.0060876743 + (1.0004899502 * ((((((0.3663381934 * X4) + sin(((((-3.0547342300) * X4) + (5.9006505013 * X3)) + ((-3.0339722633) * X2)))) * (((0.0516956784 * X4) + (0.0836368501 * X3)) + (0.0630746931 * X1))) - ((sin(((1.6826056242 * X4) + ((-1.8112550974) * X3))) + (sin((((-1.4169569016) * X4) + (0.4668105245 * X2))) * (0.1552862525 * X2))) + (((-0.2752339244) * X4) + ((-0.4127631485) * X3)))) + sin((((1.9502971172 * X4) + ((-2.1325919628) * X3)) * exp((0.1363595128 * X1))))) + (((0.2130565047 * X1) - ((-0.3001143634) * X2)) - ((((-2.7823193073) * X2) - 4.6423687935) * ((0.0405243449 * X4) + ((-0.0536191352) * X3)))))))
0.001,1027_ESL,OperonRegressor,ok,4.0,0.8915193913869016,0.5143142191716841,92.0,92.0,61.6,,(0.0000078620 + (0.9999789596 * ((((((-2.0639550686) + (0.4337463975 * X3)) + cos(((((-2.1103806496) * X3) + (2.9032809734 * X2)) - ((((-2.7833523750) * X4) - ((-3.2186045647) * X2)) - 0.7420402765)))) - (((0.6025899053 * X4) + (1.1598169804 * X2)) + sin(((-0.9040799141) * X2)))) * ((((-0.1780652106) * X3) + exp(((-0.2413605303) * X2))) + ((((-1.1615145206) + ((-0.1386450380) * X1)) + ((((0.0052117514 * X3) + ((-0.0141848456) * X1)) - ((-0.0307955388) * X2)) / sin(((-0.7338353992) * X4)))) - (((-0.1311959177) * X4) + ((-0.2556548119) * X2))))) + (((-0.2323949039) / exp((0.5367445350 * X2))) + (0.5333012938 * X4)))))
