dataset,algorithm,status,n_features,r2,rmse,complexity,seconds,error,expr
1029_LEV,ffx,ok,4,0.5068836979968587,0.6472647141486,536,12.6,,"-1.34 - 14.5*max(0,X1+0.898) * max(0,X3-1.12) + 11.2*X1 * max(0,X3-1.12) + 7.94*max(0,X3+0.0190) * max(0,X3-1.12) - 4.87*max(0,X0+0.0248) * max(0,X3-1.12) + 3.58*max(0,X1+0.898) * max(0,X1-1.10) - 3.16*max(0,-0.0998-X1) * max(0,X3-1.12) - 2.95*X1 * max(0,X1-1.10) - 2.87*max(0,X3+0.0190) * max(0,X1-1.10) + 2.77*max(0,X3+0.0190) * X1 + 2.71*max(0,-0.0998-X1) * max(0,X3+0.0190) - 2.17*max(0,X3+0.398) * X1 - 1.88*max(0,X1-1.10) + 1.78*max(0,X3+0.398) * max(0,X1-1.10) + 1.65*max(0,X3+0.0190) * max(0,X0+0.0248) + 1.56*max(0,X3+0.398) * max(0,X3-1.12) + 1.44*max(0,X0+0.421) - 1.37*max(0,X2-0.988) - 1.27*max(0,-0.0998-X1) - 1.22*max(0,-0.0998-X1) * X1 + 1.15*max(0,X2+0.147) * max(0,X3-1.12) + 1.10*max(0,X1-1.10) * max(0,X3-1.12) + 1.09*max(0,X1+0.898) * max(0,X3+0.398) + 1.06*max(0,-0.0998-X1) * max(0,X1+0.898) + 0.835*max(0,X2+0.147) * max(0,X1-1.10) - 0.772*max(0,X3+0.0190) * max(0,X2+0.147) + 0.702*max(0,1.16-X0) + 0.701*max(0,X0+0.0248) * max(0,X1-1.10) - 0.637*X1**2 - 0.636*max(0,X0+0.0248) * max(0,X3+0.398) + 0.590*X1 - 0.559*max(0,X3+0.398) + 0.530*max(0,X2+0.147) - 0.524*max(0,X3-1.12) - 0.431*max(0,-0.0998-X1) * max(0,X0+0.0248) - 0.410*max(0,-0.778-X3) - 0.394*max(0,X0+0.0248) * X1 - 0.386*max(0,0.768-X0) - 0.330*max(0,X3+0.0190) * max(0,X1+0.898) - 0.244*X0**2 + 0.221*max(0,X3+0.398) * max(0,X2+0.147) - 0.187*X0 - 0.152*max(0,X0+0.0248) - 0.142*max(0,-0.0998-X1) * max(0,X3+0.398) - 0.136*max(0,X1+0.898) + 0.130*max(0,0.740-X3) + 0.130*max(0,X0+0.0248) * max(0,X1+0.898) - 0.121*max(0,X3+0.0190) - 0.113*max(0,X0+0.0248) * max(0,X2+0.147) + 0.103*max(0,X1+0.898) * X1 - 0.0689*max(0,-0.903-X2) + 0.0653*max(0,X3+0.778) - 0.0651*max(0,X3+0.0190) * max(0,X3+0.398) - 0.0629*max(0,0.610-X2) + 0.0374*max(0,X2+0.147) * X1 + 0.0324*max(0,X1+0.898) * max(0,X2+0.147) + 9.16e-5*max(0,-0.0998-X1) * max(0,X2+0.147)"
1027_ESL,ffx,ok,4,0.6476503804777192,0.9269138645220114,947,13.5,,"-0.602 + 15.9*max(0,-0.587-X0) * max(0,X1-0.357) - 7.36*max(0,X1-0.357) * max(0,-1.18-X2) + 5.85*max(0,-1.61-X1) * max(0,-1.29-X0) - 4.05*max(0,-1.61-X1) - 2.92*max(0,-0.587-X0) * max(0,X1+0.300) + 2.79*max(0,-1.85-X2) * abs(X0) - 2.68*max(0,-0.300-X1) - 2.04*max(0,-1.85-X2) - 1.98*max(0,-1.61-X1) * max(0,-0.587-X0) - 1.93*max(0,-1.99-X0) + 1.93*max(0,X1-1.01) * abs(X0) + 1.65*max(0,-1.61-X1) * max(0,-0.300-X1) + 1.61*max(0,-1.85-X2) * max(0,-3.05-X3) + 1.57*max(0,X2-1.51) - 1.37*max(0,X1-1.01) * max(0,X1-0.357) - 1.28*max(0,X0-0.114) * max(0,X1-1.01) - 1.24*max(0,X2-1.51) * abs(X1) + 1.10*max(0,X1-1.67) - 1.02*max(0,-0.956-X1) * max(0,-1.18-X2) - 0.967*max(0,-1.85-X2) * max(0,-0.300-X1) + 0.931*max(0,-1.29-X0) * max(0,-1.18-X2) + 0.732*max(0,X1+0.300) - 0.684*max(0,-0.587-X0) * max(0,-1.18-X2) - 0.651*max(0,-0.956-X1) * max(0,-1.29-X0) - 0.638*max(0,X1+0.300) * max(0,X2-1.51) + 0.610*max(0,X1-1.01) * abs(X1) - 0.564*max(0,X1-0.357) * abs(X0) - 0.537*X1 + 0.526*max(0,X0-0.114) * max(0,X1-0.357) - 0.481*max(0,-1.18-X2) * abs(X0) + 0.476*max(0,X1+0.300) * abs(X0) + 0.459*max(0,X0-0.114) - 0.445*max(0,X1+0.300) * max(0,X1-0.357) + 0.418*max(0,-0.587-X0) * max(0,-0.300-X1) - 0.417*max(0,-1.61-X1) * abs(X0) + 0.408*abs(X1) * max(0,-0.300-X1) + 0.395*max(0,-0.587-X0) * max(0,-0.956-X1) - 0.394*max(0,-3.05-X3) - 0.390*max(0,-1.61-X1) * max(0,-0.956-X1) - 0.370*max(0,-0.587-X0) - 0.367*max(0,X0-0.114) * max(0,-0.300-X1) + 0.349*max(0,-0.505-X2) + 0.323*max(0,X2+1.18) + 0.313*abs(X1) - 0.309*max(0,-1.29-X0) * max(0,-0.300-X1) + 0.306*max(0,-2.28-X3) - 0.304*max(0,X0-0.114) * max(0,X1+0.300) + 0.302*max(0,0.168-X2) + 0.294*max(0,X3-0.821) + 0.286*max(0,-1.18-X2) + 0.282*X2 + 0.271*max(0,X1+0.300) * abs(X1) - 0.266*max(0,-0.956-X1) + 0.253*max(0,-1.50-X3) - 0.252*max(0,-0.728-X3) - 0.246*max(0,X0-0.114) * abs(X0) + 0.244*X3 + 0.241*max(0,-3.05-X3) * max(0,-0.300-X1) - 0.237*X0 - 0.231*max(0,X1-0.357) * abs(X1) + 0.221*X1**2 - 0.217*max(0,0.815-X0) + 0.213*max(0,X0+0.587) + 0.203*max(0,X1-1.01) - 0.195*max(0,X0+1.99) + 0.192*max(0,-0.587-X0) * max(0,-1.29-X0) + 0.169*max(0,-1.29-X0) * abs(X0) - 0.162*max(0,-1.29-X0) - 0.161*max(0,0.114-X0) + 0.157*max(0,1.01-X1) - 0.148*max(0,X1+1.61) + 0.128*max(0,1.67-X1) - 0.109*max(0,X2+1.85) + 0.103*max(0,-0.956-X1) * max(0,-0.300-X1) - 0.102*abs(X0) * abs(X1) - 0.0914*X2**2 + 0.0904*max(0,X1-0.357) + 0.0811*max(0,X1-0.357) * max(0,X2-1.51) + 0.0767*max(0,-1.29-X0) * abs(X1) - 0.0758*max(0,-0.956-X1) * abs(X0) + 0.0696*max(0,0.357-X1) - 0.0661*max(0,-0.587-X0) * abs(X0) - 0.0548*max(0,-1.61-X1) * abs(X1) + 0.0527*max(0,X0+1.29) - 0.0527*abs(X0) * max(0,-0.300-X1) + 0.0506*X0**2 + 0.0469*abs(X0) + 0.0446*max(0,X3+2.28) + 0.0432*max(0,X2+0.505) - 0.0375*max(0,X1-1.01) * max(0,X1+0.300) + 0.0311*abs(X2) + 0.0306*max(0,X0-0.815) - 0.0282*max(0,-1.85-X2) * abs(X1) + 0.0266*max(0,X0-1.52) + 0.0169*max(0,-1.18-X2) * abs(X1) + 0.0155*max(0,X1+0.956) - 0.0133*X3**2 + 0.0114*max(0,X3+3.05) + 0.0110*abs(X3) + 0.00720*max(0,X2-0.841) + 0.00397*max(0,-0.956-X1) * abs(X1) + 0.00372*max(0,X0-0.114) * abs(X1) + 0.00297*max(0,-0.587-X0) * abs(X1) - 0.00226*max(0,X2-1.51) * abs(X0) + 0.00106*max(0,-3.05-X3) * abs(X1) + 0.000117*max(0,-1.18-X2) * max(0,-3.05-X3) + 1.04e-5*max(0,1.52-X0)"
1028_SWD,ffx,ok,10,-0.521404655044728,0.9084106367146195,1095,25.4,,"0.168 - 5.87*max(0,X2-0.872) * max(0,-0.699-X6) - 5.64*max(0,-0.987-X7) * max(0,-0.776-X4) - 3.63*max(0,-0.987-X7) * max(0,-0.680-X3) + 3.57*max(0,-0.987-X7) * max(0,-1.11-X1) + 2.77*max(0,-0.680-X3) * max(0,X2-0.872) + 2.00*max(0,-0.680-X3) * max(0,-1.11-X1) + 1.98*max(0,X3-0.328) * max(0,-0.987-X7) + 1.84*max(0,X2+0.274) * max(0,-0.699-X6) - 1.77*max(0,-0.699-X6) - 1.74*max(0,-0.776-X4) + 1.53*max(0,-0.680-X3) * max(0,0.490-X2) - 1.50*max(0,-0.776-X4) * max(0,-1.11-X1) + 1.46*X9 * max(0,-1.11-X1) + 1.33*max(0,X3-0.328) * max(0,X2-0.872) - 1.22*X9 * max(0,-0.776-X4) - 1.21*max(0,X8+0.119) * max(0,-0.776-X4) - 1.04*X0 * max(0,-0.987-X7) + 1.02*X9 * max(0,-0.680-X3) - 0.933*max(0,X2+0.274) * max(0,-1.11-X1) + 0.867*max(0,-0.680-X3) * max(0,-0.699-X6) - 0.812*max(0,0.490-X2) - 0.795*max(0,X8+0.119) * max(0,-0.680-X3) - 0.783*max(0,X8+0.460) * max(0,-0.680-X3) - 0.742*max(0,X8+0.119) * X9 + 0.724*max(0,X3-0.328) * max(0,-0.776-X4) - 0.712*X0 * max(0,-1.11-X1) + 0.708*X7 * max(0,-1.11-X1) - 0.701*X9 * max(0,-0.699-X6) - 0.652*max(0,X3-0.328) * max(0,X2+0.274) + 0.630*max(0,X8+0.119) * max(0,-0.987-X7) + 0.597*max(0,X8+0.801) * max(0,-0.776-X4) + 0.578*max(0,X8+0.801) * X9 - 0.500*max(0,-0.680-X3) * max(0,-0.776-X4) - 0.492*max(0,X3-0.328) * max(0,-1.11-X1) + 0.487*max(0,X8+0.801) - 0.477*X9 * max(0,-0.987-X7) - 0.469*max(0,X8+0.119) * max(0,X2+0.274) + 0.450*X9 * max(0,X2-0.872) - 0.409*max(0,X8+0.801) * max(0,-0.680-X3) - 0.374*max(0,-0.987-X7) + 0.361*X9 * max(0,X3-0.328) + 0.326*max(0,0.0267-X4) + 0.302*max(0,X8+0.460) * max(0,X2-0.872) - 0.273*max(0,X8+0.801) * max(0,-0.987-X7) + 0.267*X7 * max(0,X3-0.328) - 0.245*max(0,-0.987-X7) * max(0,X2-0.872) + 0.245*max(0,-0.764-X1) - 0.244*max(0,X8+0.801) * max(0,-1.11-X1) - 0.244*max(0,X8+0.119) * max(0,X3-0.328) + 0.242*X7 * max(0,-0.680-X3) - 0.233*X0 * max(0,-0.680-X3) + 0.225*max(0,X3-0.328) - 0.213*X9 * max(0,0.490-X2) + 0.207*X4**2 - 0.207*max(0,X8+0.119) * max(0,0.490-X2) - 0.198*max(0,X8+0.460) * max(0,X2+0.274) + 0.198*max(0,X8+0.801) * max(0,X2-0.872) - 0.190*max(0,0.490-X2) * max(0,-1.11-X1) + 0.169*max(0,X2+0.274) * max(0,-0.776-X4) - 0.155*max(0,X8+0.119) * max(0,-0.699-X6) - 0.153*max(0,X8-0.903) - 0.146*X7 * max(0,-0.776-X4) + 0.143*max(0,-1.11-X1) + 0.135*max(0,X8+0.119) + 0.135*max(0,X8+0.801) * max(0,X8+0.119) + 0.124*X0 * max(0,X3-0.328) + 0.119*max(0,X2-0.872) + 0.116*X9 + 0.113*X7 * X9 + 0.109*max(0,X3-0.328) * max(0,0.490-X2) - 0.106*X9 * max(0,X2+0.274) - 0.0986*max(0,-0.825-X0) + 0.0960*max(0,X3-0.328) * max(0,-0.699-X6) - 0.0957*X0 * max(0,X8+0.801) + 0.0948*max(0,X8+0.460) * max(0,X8+0.119) + 0.0939*X0 * max(0,X2-0.872) + 0.0927*X5 + 0.0917*X7 * max(0,X2-0.872) - 0.0905*X0 * X7 - 0.0861*max(0,X2+0.274) - 0.0860*max(0,X2+0.274) * max(0,-0.987-X7) + 0.0848*X7 * max(0,-0.699-X6) - 0.0765*X7**2 - 0.0764*max(0,-0.987-X7) * max(0,0.490-X2) - 0.0691*max(0,X8-0.221) - 0.0679*max(0,X8+0.119) * max(0,-1.11-X1) + 0.0638*X7 * max(0,X2+0.274) - 0.0636*max(0,-0.680-X3) - 0.0596*max(0,-0.437-X0) + 0.0595*X9**2 + 0.0583*max(0,X8+0.460) * max(0,X8+0.801) - 0.0524*max(0,X8+0.119) * X7 + 0.0476*X0 * max(0,-0.776-X4) - 0.0271*max(0,0.340-X0) + 0.0267*X0 * max(0,-0.699-X6) - 0.0233*max(0,X8+0.801) * max(0,X2+0.274) - 0.0229*max(0,-0.560-X5) + 0.0225*max(0,X8+0.801) * max(0,-0.699-X6) - 0.0225*max(0,X8-0.562) - 0.0195*max(0,X8+0.460) * max(0,-1.11-X1) - 0.0152*X0 * max(0,0.490-X2) - 0.0147*max(0,-0.987-X7) * max(0,-0.699-X6) - 0.00812*X0 * max(0,X2+0.274) - 0.00362*X0**2 + 0.00352*max(0,X6-0.376) - 0.00278*X0 * X9 - 0.00242*max(0,0.0179-X6) + 0.00213*max(0,X6-0.735) + 0.000374*max(0,X6-1.09) + 0.000250*max(0,-0.417-X1) + 0.000208*X7 * max(0,0.490-X2) - 9.20e-5*max(0,-0.294-X5) - 1.89e-5*max(0,-0.0485-X0) - 5.31e-9*max(0,-0.0267-X5) - 2.20e-11*max(0,0.240-X5) - 3.29e-15*max(0,0.507-X5)"
1030_ERA,ffx,ok,4,0.182675006819508,1.6729757041413593,1035,15.2,,"1.02 - 27.6*max(0,X1-1.30) * max(0,X3-0.929) + 16.4*max(0,-1.10-X2) * max(0,X0-0.183) + 13.0*max(0,X1-1.30) * max(0,X2-0.318) + 5.44*max(0,0.515-X3) * max(0,X3-0.102) - 5.08*max(0,-1.10-X2) * max(0,0.102-X3) - 4.20*max(0,0.515-X3) * max(0,-1.10-X2) + 3.62*max(0,X1-1.30) * max(0,X0-0.183) + 3.12*max(0,X0-1.02) * max(0,0.102-X3) + 2.89*max(0,X2-1.26) + 2.13*max(0,0.318-X2) * max(0,0.102-X3) + 2.00*max(0,-0.725-X3) * X0 + 1.93*max(0,X2-0.318) * max(0,-0.312-X3) - 1.86*max(0,0.318-X2) * max(0,X0-0.183) + 1.65*max(0,X1-0.820) - 1.62*max(0,X0-1.02) - 1.60*max(0,-0.725-X3) * max(0,0.102-X3) - 1.57*max(0,X3-0.929) * max(0,X3-1.34) + 1.54*max(0,-0.627-X2) + 1.41*max(0,X0-1.02) * max(0,X3-1.34) + 1.32*X0 * max(0,X3-1.34) - 1.26*X0 * max(0,-1.10-X2) - 1.17*max(0,X3-0.929) - 1.03*max(0,-0.725-X3) - 1.03*max(0,-0.725-X3) * abs(X0) - 0.983*max(0,0.102-X3) - 0.898*max(0,X0-0.183) * max(0,X3-0.929) + 0.859*X0 * max(0,X0-0.183) + 0.801*abs(X0) * max(0,X3-1.34) - 0.800*max(0,0.318-X2) + 0.789*max(0,-0.312-X3) + 0.783*max(0,0.318-X2) * max(0,-0.312-X3) + 0.755*max(0,X0-0.183) + 0.751*max(0,-0.312-X3) * max(0,0.102-X3) + 0.719*max(0,-0.725-X3) * max(0,X0-0.183) - 0.665*max(0,0.338-X1) + 0.654*abs(X0) * max(0,X0-0.183) - 0.653*abs(X0) * max(0,0.102-X3) - 0.645*X0 * max(0,X1-1.30) + 0.602*abs(X0) * max(0,-1.10-X2) - 0.584*max(0,X0-0.183) * max(0,X3-1.34) - 0.566*max(0,-0.154-X2) - 0.547*X0 * max(0,0.102-X3) + 0.533*max(0,X3-0.515) - 0.520*X0 * max(0,0.515-X3) - 0.502*max(0,-0.651-X0) - 0.483*abs(X0) * max(0,X3-0.102) + 0.480*max(0,-0.725-X3) * max(0,0.318-X2) - 0.468*max(0,-1.11-X1) - 0.456*max(0,X1-0.338) - 0.445*max(0,0.515-X3) - 0.409*abs(X0) - 0.397*max(0,-0.234-X0) - 0.386*X0 * max(0,X3-0.929) - 0.373*max(0,0.515-X3) * max(0,X2-0.318) + 0.364*max(0,-0.627-X1) + 0.345*max(0,0.515-X3) * max(0,-0.312-X3) - 0.327*max(0,-0.312-X3) * max(0,X0-0.183) - 0.326*X0 * max(0,X2-0.318) + 0.326*max(0,X1-1.30) * max(0,0.102-X3) + 0.325*max(0,0.820-X1) + 0.307*max(0,X0-1.02) * max(0,X3-0.929) + 0.300*max(0,X3+0.312) - 0.297*max(0,-0.725-X3) * max(0,-0.312-X3) + 0.289*max(0,0.318-X2) * max(0,-1.10-X2) + 0.283*max(0,X1-1.30) * abs(X0) + 0.264*X0 * max(0,X3-0.102) - 0.257*max(0,X2-0.318) * max(0,0.102-X3) + 0.255*max(0,0.318-X2) * abs(X0) - 0.251*max(0,X0+0.234) - 0.207*max(0,0.790-X2) - 0.207*max(0,0.515-X3) * max(0,X0-0.183) - 0.202*abs(X0) * max(0,X2-0.318) - 0.197*max(0,X3-0.102) * max(0,X2-0.318) - 0.191*max(0,X3-0.515) * max(0,X0-0.183) - 0.186*X0 * max(0,0.318-X2) + 0.184*max(0,X2-0.318) * max(0,X0-0.183) + 0.179*max(0,-1.10-X2) * max(0,X3-0.929) + 0.179*max(0,X3-0.102) + 0.165*max(0,X2+0.154) - 0.158*max(0,X0-0.183) * max(0,0.102-X3) + 0.148*max(0,X3-0.515) * max(0,-1.10-X2) - 0.148*X3 - 0.136*abs(X1) + 0.126*max(0,0.318-X2) * max(0,0.515-X3) - 0.118*max(0,-1.07-X0) + 0.106*max(0,0.183-X0) - 0.0848*X0**2 + 0.0749*X0 * abs(X0) - 0.0741*max(0,X2-0.318) * max(0,X3-1.34) - 0.0689*X1**2 + 0.0634*max(0,X0-0.601) - 0.0431*abs(X0) * max(0,X3-0.515) - 0.0424*X2**2 - 0.0421*abs(X2) + 0.0363*max(0,X3-0.102) * max(0,-1.10-X2) + 0.0350*max(0,X1-1.30) - 0.0343*max(0,-0.725-X3) * max(0,0.515-X3) - 0.0317*max(0,X2-0.318) - 0.0317*max(0,X0+0.651) - 0.0313*X0 * max(0,X3-0.515) - 0.0298*max(0,1.26-X2) - 0.0194*X0 - 0.0114*max(0,0.515-X3) * abs(X0) - 0.00962*max(0,X2-0.318) * max(0,X3-0.929) - 0.00752*max(0,X3+0.725) + 0.00643*max(0,X2+0.627) + 0.00570*max(0,X1+0.627) + 0.00528*max(0,-0.145-X1) + 0.00401*max(0,0.318-X2) * max(0,X3-1.34) + 0.00248*max(0,0.515-X3) * max(0,0.102-X3) + 0.000712*max(0,0.318-X2) * max(0,X3-0.929)"
1028_SWD,OperonRegressor,ok,10,0.19124379144183057,0.6623211966424984,98,55.2,,((-0.0015093613) + (1.0262900591 * (((((sin(((3.2701754570 * X3) - (((-6.1965317726) * X5) + ((-0.1172376201) * X8)))) * ((-1.7764021158) * X2)) + ((sin((((-2.6429827213) * X9) - ((-0.1289358437) * X2))) / ((-1.6878556013) * X5)) + (1.4179809093 * X6))) - ((-0.0239307471) * X2)) - sin((sin((((0.8137242794 * X3) + (-0.3257121146)) + (((-1.4222579002) * X7) + ((-6.8546380997) * X5)))) + (2.1671810150 * X6)))) - (((((0.0167030301 * X5) + ((-0.2393727750) * X8)) - (0.2101248652 * X10)) - ((0.1173345149 * X9) + (0.4476582408 * X3))) - sin((((((-6.1751832962) * X5) + ((-0.1825472414) * X8)) - ((-0.0444818437) * X10)) + (1.8648636341 * X6)))))))
1030_ERA,OperonRegressor,ok,4,0.2629185292245242,1.5887296146681282,94,55.8,,(0.0000927141 + (1.0184313059 * (((sin((sin((2.5753653049 * X2)) + (((-0.7017264366) * X2) + ((-0.1621240824) * X4)))) + ((0.4592765570 * X2) + (cos(cos(exp((1.7567363977 * X4)))) + (((-1.2151883841) * X3) + (-1.7357681990))))) + exp((((sin((((-2.5061898232) * X2) + (0.0542776361 * X4))) + sin((2.0343651772 * X2))) + ((0.0270458106 * X4) - (0.4618518054 * X1))) + ((1.0400489569 * X3) + ((0.1364219785 * X2) / ((1.6322063208 * X2) + (0.8580150604 * X1))))))) - (((-0.7915764451) * X1) + ((((-0.1872088462) * X2) + (((-0.1320942044) * X3) + (((-0.5560641885) * X3) + (0.4831533432 * X1)))) ^ 2)))))
1027_ESL,OperonRegressor,ok,4,0.8915193913869016,0.5143142191716841,92,61.6,,(0.0000078620 + (0.9999789596 * ((((((-2.0639550686) + (0.4337463975 * X3)) + cos(((((-2.1103806496) * X3) + (2.9032809734 * X2)) - ((((-2.7833523750) * X4) - ((-3.2186045647) * X2)) - 0.7420402765)))) - (((0.6025899053 * X4) + (1.1598169804 * X2)) + sin(((-0.9040799141) * X2)))) * ((((-0.1780652106) * X3) + exp(((-0.2413605303) * X2))) + ((((-1.1615145206) + ((-0.1386450380) * X1)) + ((((0.0052117514 * X3) + ((-0.0141848456) * X1)) - ((-0.0307955388) * X2)) / sin(((-0.7338353992) * X4)))) - (((-0.1311959177) * X4) + ((-0.2556548119) * X2))))) + (((-0.2323949039) / exp((0.5367445350 * X2))) + (0.5333012938 * X4)))))
1029_LEV,OperonRegressor,ok,4,0.49717680459460245,0.6536043044659557,96,58.5,,((-0.0000084948) + (1.0000363588 * ((((exp((((0.6816986799 * X3) + ((-1.0836762190) * X2)) + ((-2.6249229908) + (0.2490852475 * X1)))) + ((((((-0.0540065505) * X3) + ((-0.0679732189) * X2)) + (((-0.1177900210) * X1) + ((-0.0525620766) * X4))) / cos(((0.8626772165 * X3) + ((-0.9481334090) * X2)))) + (((-0.1495243311) + (0.5822477341 * X1)) + (0.3809961379 * X4)))) - ((-0.2444788367) * X3)) + ((((0.0025777791 + ((-0.0032729555) * X1)) + ((0.0005016131 * X3) + ((-0.0004820975) * X2))) / (((-0.1197540909) * X1) + ((-0.0722463131) * X4))) / cos((((0.1574940234 * X3) - ((-0.9570210576) * X1)) - ((-0.2134085447) * X4))))) - ((-0.7900444865) * X2))))
1089_USCrime,OperonRegressor,ok,13,-38.54591607940792,222.48955133308814,98,35.6,,((-0.0024915459) + (1.0008100271 * ((((sin((4.2664232254 * X3)) + ((((-0.1603014022) * X8) - (((0.5039057732 * X4) + (0.1647678167 * X3)) * sin(((-21.9767360687) * X13)))) + ((0.3307535648 * X4) - (0.3549600542 * X13)))) / (1.6106466055 * X7)) + (((((-22.0075359344) * X13) * ((0.0150549412 * X4) + (0.0237490684 * X3))) - (((-0.0440807939) * X11) - (0.0278097652 * X1))) + (((-1.1022541523) * X4) + (0.2286591679 * X3)))) + ((sin(exp((((-1.6383556128) * X4) + (0.2135723233 * X3)))) / (3.6095733643 * X7)) + (((0.0463525355 * X8) - (0.1029883400 * X2)) + sin(((1.6599267721 * X4) + (((-1.1266819239) * X13) - 0.1288633645))))))))
1089_USCrime,ffx,ok,13,0.8245991705651841,14.817489269273349,363,11.1,,"0.409 + 11.0*max(0,-0.813-X7) * max(0,0.0335-X8) + 2.39*max(0,-0.262-X1) * max(0,-0.474-X4) - 1.92*max(0,-0.474-X4) * max(0,X1-1.89) - 1.75*max(0,X10-0.970) * max(0,-0.813-X7) - 1.11*max(0,-0.153-X9) * max(0,0.0335-X8) + 1.04*max(0,-0.262-X1) * max(0,X3-1.26) + 0.944*max(0,-0.262-X1) * max(0,-0.153-X9) - 0.634*max(0,X12+0.447) + 0.589*max(0,-0.474-X4) * max(0,X9-2.63) + 0.526*max(0,X0-2.08) * max(0,0.373-X3) + 0.513*max(0,X6-1.61) + 0.507*max(0,-0.474-X4) + 0.502*max(0,0.373-X3) - 0.359*max(0,-0.153-X9) * max(0,X12+0.447) + 0.334*max(0,-0.153-X9) * max(0,-0.562-X6) - 0.319*max(0,0.373-X3) * max(0,0.0335-X8) - 0.257*max(0,0.977-X0) + 0.208*max(0,X9-1.52) - 0.204*max(0,X10-0.970) * max(0,-0.262-X1) - 0.180*max(0,-0.153-X9) - 0.152*max(0,0.263-X7) + 0.151*max(0,-0.562-X6) * max(0,-0.474-X4) + 0.123*max(0,1.27-X4) + 0.117*max(0,0.688-X4) - 0.0783*max(0,X12+0.447) * max(0,0.0335-X8) + 0.0764*max(0,0.0335-X8) * max(0,X9-2.63) + 0.0521*max(0,X7+0.275) - 0.0470*max(0,0.522-X6) + 0.0458*max(0,X0-2.08) * max(0,X12+0.447) + 0.0394*max(0,-0.562-X6) * max(0,X9-2.63) - 0.0337*max(0,X10-0.970) * max(0,-0.153-X9) + 0.0206*max(0,0.977-X0) * max(0,X9-2.63) + 0.0131*max(0,0.373-X3) * max(0,X9-2.63) + 0.00760*max(0,-0.262-X1) + 0.00472*max(0,X12+0.447) * max(0,-0.474-X4) + 0.00158*max(0,X9-2.63)"
