noise_strength,group,algorithm,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,ITEARegressor,0.8895,0.224,115,119,0.7647,20.61,8.41,119,1821.9,252.9,119
0.0,Feynman,MRGPRegressor,0.7711,0.3835,100,119,0.6975,117.46,32.37,115,2222.8,1006.8,115
0.0,Feynman,OperonRegressor,0.9539,0.2001,114,119,0.958,83.81,17.77,119,54.9,10.0,119
0.0,Feynman,ffx,0.7026,0.3983,97,119,0.5546,805.82,764.94,118,13.3,7.5,118
0.0,Strogatz,ITEARegressor,0.714,0.3697,12,14,0.4286,13.79,3.34,14,1651.2,155.7,14
0.0,Strogatz,MRGPRegressor,0.9659,0.1081,14,14,0.9286,69.57,37.25,14,2372.9,989.1,14
0.0,Strogatz,OperonRegressor,0.9997,0.0008,14,14,1.0,68.29,23.8,14,44.1,15.1,14
0.0,Strogatz,ffx,0.8868,0.2528,13,14,0.7143,146.08,144.74,13,5.8,1.6,13
0.0,Black-box,ITEARegressor,0.3486,0.3595,89,138,0.1232,32.5,28.02,112,2211.3,560.2,112
0.0,Black-box,MRGPRegressor,0.3658,0.3563,89,138,0.087,114.76,44.48,131,2952.7,624.3,131
0.0,Black-box,OperonRegressor,0.6933,0.3931,109,138,0.5942,87.79,12.16,135,53.8,13.3,135
0.0,Black-box,ffx,0.3307,0.3686,75,138,0.1232,1152.57,704.38,111,32.8,27.5,111
0.001,Feynman,ITEARegressor,0.8898,0.2199,116,119,0.7731,22.48,7.26,119,1858.9,242.7,119
0.001,Feynman,MRGPRegressor,0.8145,0.3375,105,119,0.7227,117.95,29.19,118,2205.4,989.9,118
0.001,Feynman,OperonRegressor,0.969,0.1572,116,119,0.958,90.5,5.88,119,56.6,8.5,119
0.001,Feynman,ffx,0.6859,0.4066,96,119,0.5462,824.66,778.73,119,13.6,7.6,119
0.001,Strogatz,ITEARegressor,0.714,0.3697,12,14,0.4286,14.29,2.58,14,1644.7,127.6,14
0.001,Strogatz,MRGPRegressor,0.9169,0.257,13,14,0.8571,74.62,42.39,13,2138.7,1014.6,13
0.001,Strogatz,OperonRegressor,0.9997,0.0008,14,14,1.0,85.64,7.28,14,46.5,5.8,14
0.001,Strogatz,ffx,0.8872,0.2528,13,14,0.7143,158.15,176.98,13,5.6,1.4,13
0.001,Black-box,ITEARegressor,0.3672,0.3579,92,138,0.1449,28.56,26.26,108,2137.7,473.9,108
0.001,Black-box,MRGPRegressor,0.3281,0.3508,82,138,0.1014,116.81,43.95,135,2946.6,637.8,135
0.001,Black-box,OperonRegressor,0.6868,0.3907,114,138,0.5652,88.75,11.85,135,54.7,13.8,135
0.001,Black-box,ffx,0.321,0.3729,70,138,0.1232,1139.91,687.31,110,32.6,25.7,110
0.01,Feynman,ITEARegressor,0.8934,0.2155,116,119,0.7815,22.55,7.48,119,1865.5,232.6,119
0.01,Feynman,MRGPRegressor,0.7338,0.3527,104,119,0.5378,135.39,12.32,116,2752.8,626.7,116
0.01,Feynman,OperonRegressor,0.9522,0.1855,116,119,0.9328,91.52,3.99,119,57.4,7.5,119
0.01,Feynman,ffx,0.7206,0.3822,99,119,0.5714,810.25,722.85,119,13.8,7.3,119
0.01,Strogatz,ITEARegressor,0.714,0.3695,12,14,0.4286,14.29,2.58,14,1635.6,122.5,14
0.01,Strogatz,MRGPRegressor,0.9633,0.0857,14,14,0.9286,91.79,39.24,14,2444.5,812.7,14
0.01,Strogatz,OperonRegressor,0.9998,0.0003,14,14,1.0,88.29,4.45,14,52.3,6.0,14
0.01,Strogatz,ffx,0.8936,0.2523,13,14,0.7857,137.23,156.97,13,5.6,1.2,13
0.01,Black-box,ITEARegressor,0.3538,0.366,84,138,0.1304,31.93,27.03,112,2188.6,551.4,112
0.01,Black-box,MRGPRegressor,0.3546,0.3576,88,138,0.1159,114.53,43.84,137,2957.9,597.0,137
0.01,Black-box,OperonRegressor,0.6696,0.3976,110,138,0.5652,88.62,11.7,136,55.0,13.7,136
0.01,Black-box,ffx,0.3293,0.3796,68,138,0.1087,1164.68,709.61,109,33.3,27.8,109
0.1,Feynman,ITEARegressor,0.8887,0.2113,116,119,0.7395,22.48,7.42,119,1862.1,210.1,119
0.1,Feynman,MRGPRegressor,0.317,0.3451,73,119,0.0504,141.19,8.47,113,3085.1,94.2,113
0.1,Feynman,OperonRegressor,0.8862,0.2353,113,119,0.8067,91.55,3.8,119,58.2,9.1,119
0.1,Feynman,ffx,0.5888,0.4012,89,119,0.3529,1129.3,665.94,119,15.5,8.0,119
0.1,Strogatz,ITEARegressor,0.7125,0.367,12,14,0.4286,14.0,1.96,14,1640.5,125.5,14
0.1,Strogatz,MRGPRegressor,0.516,0.3374,11,14,0.0714,136.57,11.78,14,3017.1,226.0,14
0.1,Strogatz,OperonRegressor,0.9431,0.1554,14,14,0.9286,88.64,6.26,14,50.2,5.2,14
0.1,Strogatz,ffx,0.7492,0.3947,11,14,0.6429,387.0,257.78,11,6.6,1.7,11
0.1,Black-box,ITEARegressor,0.3412,0.355,87,138,0.1014,32.41,28.06,112,2213.4,573.7,112
0.1,Black-box,MRGPRegressor,0.2107,0.3059,60,138,0.0362,116.59,43.25,134,3092.3,470.8,134
0.1,Black-box,OperonRegressor,0.6013,0.4084,104,138,0.4275,88.59,11.31,136,53.7,13.0,136
0.1,Black-box,ffx,0.249,0.3351,58,138,0.0652,1265.59,702.99,108,35.2,28.5,108
