algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
AdaBoostRegressor,1027_ESL,ok,0.816256,0.68133,,0.05,,
AdaBoostRegressor,1028_SWD,ok,0.410116,0.6488,,0.02,,
AdaBoostRegressor,1029_LEV,ok,0.673827,0.519558,,0.01,,
AdaBoostRegressor,1030_ERA,ok,0.181166,1.64133,,0.02,,
AdaBoostRegressor,1089_USCrime,ok,0.649164,21.572037,,0.06,,
AdaBoostRegressor,1096_FacultySalaries,ok,0.888627,1.145157,,0.05,,
AdaBoostRegressor,1191_BNG_pbc,ok,0.275245,792.967732,,0.07,,
AdaBoostRegressor,1193_BNG_lowbwt,ok,0.600495,425.950513,,0.05,,
AdaBoostRegressor,1196_BNG_pharynx,ok,0.364003,330.843937,,0.06,,
AdaBoostRegressor,1199_BNG_echoMonths,ok,0.522597,10.610898,,0.06,,
AdaBoostRegressor,1201_BNG_breastTumor,ok,0.009223,11.841287,,0.03,,
AdaBoostRegressor,1203_BNG_pwLinear,ok,0.188382,3.93808,,0.04,,
AdaBoostRegressor,1595_poker,ok,0.128361,1.154819,,0.06,,
AdaBoostRegressor,192_vineyard,ok,0.712767,2.646839,,0.04,,
AdaBoostRegressor,197_cpu_act,ok,0.59919,4.008549,,0.07,,
AdaBoostRegressor,201_pol,ok,0.780558,21.46692,,0.07,,
AdaBoostRegressor,210_cloud,ok,0.816758,0.525642,,0.05,,
AdaBoostRegressor,215_2dplanes,ok,0.918774,1.231934,,0.06,,
AdaBoostRegressor,218_house_8L,ok,0.229683,30905.886489,,0.06,,
AdaBoostRegressor,225_puma8NH,ok,0.508239,3.948353,,0.06,,
AdaBoostRegressor,227_cpu_small,ok,0.627479,3.864502,,0.06,,
AdaBoostRegressor,228_elusage,ok,0.763993,10.82257,,0.02,,
AdaBoostRegressor,229_pwLinear,ok,0.851104,1.601976,,0.06,,
AdaBoostRegressor,230_machine_cpu,ok,0.860279,39.789051,,0.06,,
AdaBoostRegressor,294_satellite_image,ok,0.80798,0.478101,,0.07,,
AdaBoostRegressor,344_mv,ok,0.965504,2.007175,,0.06,,
AdaBoostRegressor,4544_GeographicalOriginalofMusic,ok,0.521459,0.650991,,0.18,,
AdaBoostRegressor,485_analcatdata_vehicle,ok,0.734157,146.668117,,0.01,,
AdaBoostRegressor,503_wind,ok,0.646408,3.519517,,0.07,,
AdaBoostRegressor,505_tecator,ok,0.977548,1.890682,,0.17,,
AdaBoostRegressor,519_vinnie,ok,0.762574,1.362283,,0.01,,
AdaBoostRegressor,522_pm10,ok,0.104469,0.758921,,0.06,,
