algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
AdaBoostRegressor,0.0,Black-box,0.6465497941176471,0.23255445205743766,136,136,0.0,,,0,0.06360294117647058,0.028328046411774062,136
AdaBoostRegressor,0.0,Feynman,0.6914784285714287,0.2710920636613367,119,119,0.0,,,0,0.1642016806722689,0.05613989484993334,119
AdaBoostRegressor,0.0,Strogatz,0.753352857142857,0.3456061314591104,14,14,0.0,,,0,0.08785714285714287,0.07627667971360493,14
AdaBoostRegressor,0.001,Black-box,0.6388411221374046,0.23300730576053827,131,131,0.0,,,0,0.09374045801526719,0.05929503647488412,131
AdaBoostRegressor,0.001,Feynman,0.6945820168067228,0.2667088132299122,119,119,0.0,,,0,0.16319327731092437,0.052155776661537784,119
AdaBoostRegressor,0.001,Strogatz,0.7695199285714287,0.3409660812337755,14,14,0.0,,,0,0.11285714285714285,0.07467144150091236,14
AdaBoostRegressor,0.01,Black-box,0.6457819117647059,0.2352509358413462,136,136,0.0,,,0,0.06536764705882353,0.028203180494018994,136
AdaBoostRegressor,0.01,Feynman,0.7043575462184875,0.25532160117258923,119,119,0.0,,,0,0.16857142857142857,0.057287347588316564,119
AdaBoostRegressor,0.01,Strogatz,0.7921842857142857,0.28738152927140886,14,14,0.0,,,0,0.08714285714285716,0.041403933560541256,14
AdaBoostRegressor,0.1,Black-box,0.6427585588235294,0.23847595796616058,136,136,0.0,,,0,0.06742647058823531,0.03390610834357927,136
AdaBoostRegressor,0.1,Feynman,0.7104301512605044,0.2448233406769689,119,119,0.0,,,0,0.15487394957983197,0.04921184827396558,119
AdaBoostRegressor,0.1,Strogatz,0.810303,0.28459734073950865,14,14,0.0,,,0,0.08285714285714287,0.042322674669836156,14
