algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
GP-GOMEA,0.0,Black-box,0.7136876992481204,0.24340858909869004,133,133,0.03007518796992481,23.81954887218045,3.7675540382727806,133,2013.165864661654,23.629731789338845,133
GP-GOMEA,0.0,Feynman,0.9585556722689075,0.1628760395355361,119,119,0.7226890756302521,22.96638655462185,5.17315884403141,119,2020.8015126050425,27.790266362024994,119
GP-GOMEA,0.0,Strogatz,0.8883782142857143,0.2699757388758589,14,14,0.42857142857142855,22.142857142857142,5.600235473856199,14,2040.5400000000002,31.58982991163699,14
GP-GOMEA,0.001,Black-box,0.699954875,0.2465259110482195,136,136,0.022058823529411766,23.404411764705884,4.431166849873306,136,2012.878382352941,17.040992199446947,136
GP-GOMEA,0.001,Feynman,0.9566835966386553,0.15717577839747723,119,119,0.7058823529411765,25.57983193277311,4.484428422508133,119,2017.2689915966384,22.68646820579331,119
GP-GOMEA,0.001,Strogatz,0.9179020000000001,0.23885117275859005,14,14,0.42857142857142855,23.428571428571427,5.430884411815952,14,2027.3007142857143,30.37921973583661,14
GP-GOMEA,0.01,Black-box,0.6953246283783783,0.25579175175955443,148,148,0.006756756756756757,23.722972972972972,4.382744373581755,148,2013.0107432432435,16.37484665104356,148
GP-GOMEA,0.01,Feynman,0.9623628991596639,0.15025902765323232,119,119,0.6386554621848739,25.781512605042018,4.246952374620816,119,2022.6364705882352,30.33966790284029,119
GP-GOMEA,0.01,Strogatz,0.9227522857142857,0.20828233070390428,14,14,0.35714285714285715,24.071428571428573,5.210408011696555,14,2017.552857142857,19.52340269387624,14
GP-GOMEA,0.1,Black-box,0.6212220437956204,0.2831650037868658,137,137,0.0,23.45985401459854,4.350481039224192,137,2014.450437956204,25.22420064811164,137
GP-GOMEA,0.1,Feynman,0.8944264033613446,0.18402668374387482,119,119,0.0,26.554621848739497,3.4682518406779588,119,2017.9663025210084,24.93789312134116,119
GP-GOMEA,0.1,Strogatz,0.9116316428571426,0.201294666623377,14,14,0.0,24.071428571428573,4.304993267470581,14,2029.6714285714284,28.703886860129632,14
