algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
KernelRidge,1027_ESL,ok,-10.215643,5.323082,,0.0,,
KernelRidge,1028_SWD,ok,-21.409578,3.998934,,0.0,,
KernelRidge,1029_LEV,ok,-2.79858,1.77305,,0.0,,
KernelRidge,1030_ERA,ok,-5.804301,4.7314,,0.0,,
KernelRidge,1089_USCrime,ok,-25.610712,187.874181,,0.0,,
KernelRidge,1096_FacultySalaries,ok,-159.764467,43.508038,,0.0,,
KernelRidge,1191_BNG_pbc,ok,-3.920773,2066.220355,,0.0,,
KernelRidge,1193_BNG_lowbwt,ok,-18.005842,2937.932406,,0.0,,
KernelRidge,1196_BNG_pharynx,ok,-1.989973,717.346955,,0.0,,
KernelRidge,1199_BNG_echoMonths,ok,-1.63397,24.923849,,0.0,,
KernelRidge,1201_BNG_breastTumor,ok,-4.119217,26.916137,,0.0,,
KernelRidge,1203_BNG_pwLinear,ok,0.490975,3.118732,,0.0,,
KernelRidge,1595_poker,ok,-0.596226,1.562762,,0.0,,
KernelRidge,192_vineyard,ok,-12.365353,18.05514,,0.0,,
KernelRidge,197_cpu_act,ok,-176.257689,84.29864,,0.0,,
KernelRidge,201_pol,ok,-0.293658,52.121798,,0.0,,
KernelRidge,210_cloud,ok,-0.088294,1.281005,,0.0,,
KernelRidge,215_2dplanes,ok,0.681449,2.439653,,0.0,,
KernelRidge,218_house_8L,ok,-1.457335,55199.951118,,0.0,,
KernelRidge,225_puma8NH,ok,0.158391,5.165284,,0.01,,
KernelRidge,227_cpu_small,ok,-181.080915,85.437836,,0.0,,
KernelRidge,228_elusage,ok,-2.478812,41.551149,,0.0,,
KernelRidge,229_pwLinear,ok,0.76659,2.005738,,0.0,,
KernelRidge,230_machine_cpu,ok,-0.661348,137.20288,,0.0,,
KernelRidge,294_satellite_image,ok,-9.897173,3.601666,,0.0,,
KernelRidge,344_mv,ok,0.292959,9.087028,,0.0,,
KernelRidge,4544_GeographicalOriginalofMusic,ok,0.628395,0.573663,,0.01,,
KernelRidge,485_analcatdata_vehicle,ok,-1.223137,424.136759,,0.0,,
KernelRidge,503_wind,ok,-4.221763,13.525106,,0.0,,
KernelRidge,505_tecator,ok,-0.859618,17.206964,,0.01,,
KernelRidge,519_vinnie,ok,-3.618485,6.008321,,0.0,,
KernelRidge,522_pm10,ok,-18.213637,3.51529,,0.0,,
KernelRidge,523_analcatdata_neavote,ok,-1.340491,5.667035,,0.01,,
KernelRidge,527_analcatdata_election2000,ok,0.799382,50593.823881,,0.0,,
KernelRidge,529_pollen,ok,0.647538,1.639092,,0.0,,
KernelRidge,537_houses,ok,-3.21243,212230.316894,,0.0,,
KernelRidge,542_pollution,ok,-253.08681,973.683169,,0.0,,
KernelRidge,547_no2,ok,-20.9636,3.734315,,0.0,,
KernelRidge,556_analcatdata_apnea2,ok,-0.097717,2490.223639,,0.01,,
KernelRidge,557_analcatdata_apnea1,ok,-0.073808,2070.769023,,0.0,,
KernelRidge,560_bodyfat,ok,-5.949584,18.573959,,0.0,,
KernelRidge,561_cpu,ok,-1.172855,123.110008,,0.01,,
KernelRidge,562_cpu_small,ok,-181.080915,85.437836,,0.0,,
KernelRidge,564_fried,ok,-5.064618,14.226379,,0.0,,
KernelRidge,573_cpu_act,ok,-176.257689,84.29864,,0.02,,
KernelRidge,574_house_16H,ok,-1.237168,52669.087936,,0.0,,
KernelRidge,579_fri_c0_250_5,ok,0.629163,0.615083,,0.01,,
KernelRidge,581_fri_c3_500_25,ok,0.442408,0.843966,,0.0,,
KernelRidge,582_fri_c1_500_25,ok,-0.063494,0.959176,,0.0,,
KernelRidge,583_fri_c1_1000_50,ok,-0.212161,1.090638,,0.0,,
KernelRidge,584_fri_c4_500_25,ok,0.106558,0.881403,,0.0,,
KernelRidge,586_fri_c3_1000_25,ok,-0.05296,0.979222,,0.0,,
KernelRidge,588_fri_c4_1000_100,ok,-1.066994,1.241756,,0.01,,
KernelRidge,589_fri_c2_1000_25,ok,0.384355,0.765023,,0.0,,
KernelRidge,590_fri_c0_1000_50,ok,0.544333,0.671756,,0.0,,
KernelRidge,591_fri_c1_100_10,ok,0.29925,0.836032,,0.0,,
KernelRidge,592_fri_c4_1000_25,ok,-0.21535,1.158743,,0.0,,
KernelRidge,593_fri_c1_1000_10,ok,0.306683,0.747369,,0.01,,
KernelRidge,594_fri_c2_100_5,ok,0.17518,0.938453,,0.0,,
KernelRidge,595_fri_c0_1000_10,ok,0.716042,0.525823,,0.01,,
KernelRidge,596_fri_c2_250_5,ok,0.282608,0.916706,,0.0,,
KernelRidge,597_fri_c2_500_5,ok,0.22783,0.93588,,0.0,,
KernelRidge,598_fri_c0_1000_25,ok,0.329967,0.78222,,0.0,,
KernelRidge,599_fri_c2_1000_5,ok,0.121482,0.981247,,0.0,,
KernelRidge,601_fri_c1_250_5,ok,0.387665,0.773,,0.0,,
KernelRidge,602_fri_c3_250_10,ok,0.242276,0.880156,,0.01,,
KernelRidge,603_fri_c0_250_50,ok,0.545286,0.598903,,0.01,,
KernelRidge,604_fri_c4_500_10,ok,0.306631,0.905907,,0.01,,
KernelRidge,605_fri_c2_250_25,ok,0.235511,0.873145,,0.01,,
KernelRidge,606_fri_c2_1000_10,ok,0.339728,0.809998,,0.01,,
KernelRidge,607_fri_c4_1000_50,ok,0.316106,1.023095,,0.0,,
KernelRidge,608_fri_c3_1000_10,ok,0.362796,0.764441,,0.01,,
KernelRidge,609_fri_c0_1000_5,ok,0.72891,0.513887,,0.01,,
KernelRidge,611_fri_c3_100_5,ok,0.155974,0.972327,,0.0,,
KernelRidge,612_fri_c1_1000_5,ok,0.303133,0.844415,,0.0,,
KernelRidge,613_fri_c3_250_5,ok,-0.079081,0.867041,,0.0,,
KernelRidge,615_fri_c4_250_10,ok,0.286718,0.73571,,0.0,,
KernelRidge,616_fri_c4_500_50,ok,-0.109319,1.089651,,0.01,,
KernelRidge,617_fri_c3_500_5,ok,0.035189,0.821065,,0.0,,
KernelRidge,618_fri_c3_1000_50,ok,0.096546,0.845368,,0.01,,
KernelRidge,620_fri_c1_1000_25,ok,0.186825,0.962642,,0.0,,
KernelRidge,621_fri_c0_100_10,ok,0.866673,0.375278,,0.0,,
KernelRidge,622_fri_c2_1000_50,ok,-0.137647,1.018732,,0.01,,
KernelRidge,623_fri_c4_1000_10,ok,0.02698,0.777076,,0.0,,
KernelRidge,624_fri_c0_100_5,ok,0.455837,0.709977,,0.0,,
KernelRidge,626_fri_c2_500_50,ok,-0.258802,1.027625,,0.01,,
KernelRidge,627_fri_c2_500_10,ok,0.301354,0.734305,,0.0,,
KernelRidge,628_fri_c3_1000_5,ok,0.22001,0.902112,,0.0,,
KernelRidge,631_fri_c1_500_5,ok,0.15099,0.854134,,0.0,,
KernelRidge,633_fri_c0_500_25,ok,0.498537,0.644743,,0.0,,
KernelRidge,634_fri_c2_100_10,ok,0.489188,0.700291,,0.0,,
KernelRidge,635_fri_c0_250_10,ok,0.465679,0.652445,,0.0,,
KernelRidge,637_fri_c1_500_50,ok,0.269741,0.788965,,0.0,,
KernelRidge,641_fri_c1_500_10,ok,0.259264,0.958358,,0.0,,
KernelRidge,643_fri_c2_500_25,ok,0.324826,0.81506,,0.0,,
KernelRidge,644_fri_c4_250_25,ok,0.007999,0.894763,,0.0,,
KernelRidge,645_fri_c3_500_50,ok,-0.097995,0.823494,,0.01,,
KernelRidge,646_fri_c3_500_10,ok,0.034653,0.80106,,0.0,,
KernelRidge,647_fri_c1_250_10,ok,0.069896,0.947846,,0.0,,
KernelRidge,648_fri_c1_250_50,ok,0.249515,0.861801,,0.0,,
KernelRidge,649_fri_c0_500_5,ok,0.586516,0.565089,,0.0,,
KernelRidge,650_fri_c0_500_50,ok,0.500219,0.654586,,0.01,,
KernelRidge,651_fri_c0_100_25,ok,0.68179,0.6244,,0.0,,
KernelRidge,653_fri_c0_250_25,ok,0.679447,0.609661,,0.0,,
KernelRidge,654_fri_c0_500_10,ok,0.553037,0.681392,,0.01,,
KernelRidge,656_fri_c1_100_5,ok,0.081218,0.948324,,0.0,,
KernelRidge,657_fri_c2_250_10,ok,0.300547,0.793885,,0.0,,
KernelRidge,658_fri_c3_250_25,ok,0.215138,0.929858,,0.0,,
KernelRidge,659_sleuth_ex1714,ok,-32.859408,11740.385968,,0.0,,
KernelRidge,663_rabe_266,ok,0.157907,45.296036,,0.0,,
KernelRidge,665_sleuth_case2002,ok,-2.437774,15.835694,,0.0,,
KernelRidge,666_rmftsa_ladata,ok,-8.509195,8.702585,,0.01,,
KernelRidge,678_visualizing_environmental,ok,-10.03745,9.941623,,0.0,,
KernelRidge,687_sleuth_ex1605,ok,-52.49105,103.492738,,0.0,,
KernelRidge,690_visualizing_galaxy,ok,-294.153757,1597.636856,,0.0,,
KernelRidge,695_chatfield_4,ok,-0.73928,53.588878,,0.0,,
KernelRidge,706_sleuth_case1202,ok,-0.549238,122.949598,,0.0,,
KernelRidge,712_chscase_geyser1,ok,-29.76382,71.041818,,0.01,,
KernelRidge,_deprecated_195_auto_price,ok,-2.269513,11426.849469,,0.0,,
KernelRidge,_deprecated_207_autoPrice,ok,-2.269513,11426.849469,,0.0,,
KernelRidge,feynman_III_10_19,ok,-3.544558,16.647495,,0.01,,
KernelRidge,feynman_III_12_43,ok,-1.697056,1.396228,,0.03,,
KernelRidge,feynman_III_13_18,ok,-1.127591,469.370528,,0.01,,
KernelRidge,feynman_III_14_14,ok,-0.114327,8.965473,,0.01,,
KernelRidge,feynman_III_15_12,ok,-1.405573,8.361044,,0.01,,
KernelRidge,feynman_III_15_14,ok,-0.918254,0.013628,,0.01,,
KernelRidge,feynman_III_15_27,ok,-0.433573,3.788683,,0.02,,
KernelRidge,feynman_III_17_37,ok,-0.032609,4.484817,,0.02,,
KernelRidge,feynman_III_19_51,ok,0.133123,1.023344,,0.02,,
KernelRidge,feynman_III_21_20,ok,-0.383266,13.531345,,0.01,,
KernelRidge,feynman_III_4_32,ok,-0.734717,7.687475,,0.02,,
KernelRidge,feynman_III_4_33,ok,-1.81072,8.208668,,0.02,,
KernelRidge,feynman_III_7_38,ok,-0.522314,51.014953,,0.02,,
KernelRidge,feynman_III_8_54,ok,-1.826503,0.6395,,0.01,,
