algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
LGBMRegressor,1027_ESL,ok,0.821547,0.67145,,0.63,,
LGBMRegressor,1028_SWD,ok,0.427783,0.63901,,9.65,,
LGBMRegressor,1029_LEV,ok,0.706807,0.492592,,0.03,,
LGBMRegressor,1030_ERA,ok,0.127214,1.69454,,0.03,,
LGBMRegressor,1089_USCrime,ok,-0.436039,43.643736,,1.41,,
LGBMRegressor,1096_FacultySalaries,ok,-0.06347,3.538647,,0.87,,
LGBMRegressor,1191_BNG_pbc,ok,0.117676,874.931548,,0.06,,
LGBMRegressor,1193_BNG_lowbwt,ok,0.560745,446.638981,,0.03,,
LGBMRegressor,1196_BNG_pharynx,ok,0.296253,348.019847,,0.03,,
LGBMRegressor,1199_BNG_echoMonths,ok,0.513442,10.712157,,0.03,,
LGBMRegressor,1201_BNG_breastTumor,ok,0.005878,11.861259,,0.03,,
LGBMRegressor,1203_BNG_pwLinear,ok,0.502735,3.082496,,0.03,,
LGBMRegressor,1595_poker,ok,-0.502234,1.516053,,0.03,,
LGBMRegressor,192_vineyard,ok,-0.003,4.946081,,0.02,,
LGBMRegressor,197_cpu_act,ok,-1.014303,8.98629,,0.03,,
LGBMRegressor,201_pol,ok,0.80932,20.010688,,0.03,,
LGBMRegressor,210_cloud,ok,0.656649,0.719526,,0.05,,
LGBMRegressor,215_2dplanes,ok,0.926118,1.174917,,0.03,,
LGBMRegressor,218_house_8L,ok,0.369338,27964.351593,,0.03,,
LGBMRegressor,225_puma8NH,ok,0.447783,4.184023,,15.03,,
LGBMRegressor,227_cpu_small,ok,-1.405087,9.819365,,2.67,,
LGBMRegressor,228_elusage,ok,-0.139542,23.781143,,0.76,,
LGBMRegressor,229_pwLinear,ok,0.87372,1.475303,,17.55,,
LGBMRegressor,230_machine_cpu,ok,0.798113,47.828516,,0.03,,
LGBMRegressor,294_satellite_image,ok,0.712956,0.584549,,15.84,,
LGBMRegressor,344_mv,ok,0.928883,2.881949,,0.1,,
LGBMRegressor,4544_GeographicalOriginalofMusic,ok,0.587554,0.604365,,18.0,,
LGBMRegressor,485_analcatdata_vehicle,ok,-0.197035,311.226284,,0.02,,
LGBMRegressor,503_wind,ok,0.718137,3.142325,,0.03,,
LGBMRegressor,505_tecator,ok,0.983093,1.640671,,0.05,,
LGBMRegressor,519_vinnie,ok,0.728961,1.455524,,0.03,,
LGBMRegressor,522_pm10,ok,0.089765,0.765126,,0.64,,
LGBMRegressor,523_analcatdata_neavote,ok,0.951117,0.818997,,5.29,,
LGBMRegressor,527_analcatdata_election2000,ok,0.174183,102648.885714,,0.02,,
LGBMRegressor,529_pollen,ok,0.343588,2.236842,,0.04,,
LGBMRegressor,537_houses,ok,0.539095,70201.557018,,3.76,,
LGBMRegressor,542_pollution,ok,0.565105,40.282741,,0.02,,
LGBMRegressor,547_no2,ok,0.650503,0.471065,,0.03,,
LGBMRegressor,556_analcatdata_apnea2,ok,0.301014,1987.13586,,0.08,,
LGBMRegressor,557_analcatdata_apnea1,ok,0.077162,1919.689676,,0.03,,
LGBMRegressor,560_bodyfat,ok,0.919799,1.995337,,0.03,,
LGBMRegressor,561_cpu,ok,0.66967,48.001152,,20.13,,
LGBMRegressor,562_cpu_small,ok,-1.405087,9.819365,,0.03,,
LGBMRegressor,564_fried,ok,0.912665,1.707208,,18.6,,
LGBMRegressor,573_cpu_act,ok,-1.014303,8.98629,,28.81,,
LGBMRegressor,574_house_16H,ok,0.455621,25981.082212,,0.03,,
LGBMRegressor,579_fri_c0_250_5,ok,0.752913,0.502073,,25.14,,
LGBMRegressor,581_fri_c3_500_25,ok,0.784817,0.524289,,0.19,,
LGBMRegressor,582_fri_c1_500_25,ok,0.785697,0.430571,,0.03,,
LGBMRegressor,583_fri_c1_1000_50,ok,0.686767,0.554414,,2.84,,
LGBMRegressor,584_fri_c4_500_25,ok,0.730401,0.484173,,0.04,,
LGBMRegressor,586_fri_c3_1000_25,ok,0.478079,0.68941,,0.03,,
LGBMRegressor,588_fri_c4_1000_100,ok,0.663576,0.500968,,19.72,,
LGBMRegressor,589_fri_c2_1000_25,ok,0.744695,0.49265,,8.65,,
LGBMRegressor,590_fri_c0_1000_50,ok,0.705798,0.539773,,0.04,,
LGBMRegressor,592_fri_c4_1000_25,ok,0.722498,0.553694,,20.72,,
LGBMRegressor,593_fri_c1_1000_10,ok,0.833549,0.366195,,19.39,,
LGBMRegressor,595_fri_c0_1000_10,ok,0.734515,0.508432,,19.61,,
LGBMRegressor,596_fri_c2_250_5,ok,0.868687,0.392199,,0.11,,
LGBMRegressor,597_fri_c2_500_5,ok,0.82553,0.44486,,7.93,,
LGBMRegressor,598_fri_c0_1000_25,ok,0.711624,0.513169,,0.04,,
LGBMRegressor,599_fri_c2_1000_5,ok,0.797997,0.470524,,0.04,,
LGBMRegressor,601_fri_c1_250_5,ok,0.878822,0.343873,,0.04,,
LGBMRegressor,602_fri_c3_250_10,ok,0.701706,0.552238,,0.49,,
LGBMRegressor,603_fri_c0_250_50,ok,0.722698,0.467696,,0.17,,
LGBMRegressor,604_fri_c4_500_10,ok,0.807761,0.477003,,20.83,,
LGBMRegressor,605_fri_c2_250_25,ok,0.63463,0.603625,,12.55,,
LGBMRegressor,606_fri_c2_1000_10,ok,0.758537,0.489833,,21.53,,
LGBMRegressor,607_fri_c4_1000_50,ok,0.752884,0.614996,,0.04,,
LGBMRegressor,608_fri_c3_1000_10,ok,0.806181,0.421602,,43.44,,
LGBMRegressor,609_fri_c0_1000_5,ok,0.880385,0.341353,,0.03,,
LGBMRegressor,611_fri_c3_100_5,ok,0.532903,0.723332,,0.33,,
LGBMRegressor,612_fri_c1_1000_5,ok,0.798175,0.454431,,0.03,,
LGBMRegressor,613_fri_c3_250_5,ok,0.792597,0.38012,,11.57,,
LGBMRegressor,615_fri_c4_250_10,ok,0.747909,0.437376,,0.41,,
LGBMRegressor,616_fri_c4_500_50,ok,0.740748,0.526769,,17.87,,
LGBMRegressor,617_fri_c3_500_5,ok,0.808437,0.365857,,0.22,,
LGBMRegressor,618_fri_c3_1000_50,ok,0.756187,0.439158,,0.04,,
LGBMRegressor,620_fri_c1_1000_25,ok,0.777806,0.503199,,0.03,,
LGBMRegressor,621_fri_c0_100_10,ok,0.789459,0.471586,,0.02,,
LGBMRegressor,622_fri_c2_1000_50,ok,0.647771,0.566851,,0.35,,
LGBMRegressor,623_fri_c4_1000_10,ok,0.798312,0.353788,,0.04,,
LGBMRegressor,624_fri_c0_100_5,ok,0.547785,0.647221,,0.02,,
LGBMRegressor,626_fri_c2_500_50,ok,0.752863,0.455328,,19.64,,
LGBMRegressor,627_fri_c2_500_10,ok,0.861421,0.327037,,0.16,,
LGBMRegressor,631_fri_c1_500_5,ok,0.736213,0.476098,,22.18,,
LGBMRegressor,633_fri_c0_500_25,ok,0.700485,0.498283,,0.04,,
LGBMRegressor,634_fri_c2_100_10,ok,0.646664,0.582428,,0.02,,
LGBMRegressor,635_fri_c0_250_10,ok,0.775448,0.422962,,10.73,,
LGBMRegressor,641_fri_c1_500_10,ok,0.904618,0.343897,,8.62,,
LGBMRegressor,643_fri_c2_500_25,ok,0.821053,0.419608,,0.03,,
LGBMRegressor,644_fri_c4_250_25,ok,0.723876,0.472068,,17.4,,
LGBMRegressor,645_fri_c3_500_50,ok,0.784395,0.364913,,0.1,,
