algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
MLPRegressor,1027_ESL,ok,0.881719,0.546648,,0.06,,
MLPRegressor,1028_SWD,ok,0.400232,0.654213,,0.09,,
MLPRegressor,1029_LEV,ok,0.714936,0.485715,,0.09,,
MLPRegressor,1030_ERA,ok,0.073034,1.746344,,0.08,,
MLPRegressor,1089_USCrime,ok,0.766151,17.611921,,0.04,,
MLPRegressor,1096_FacultySalaries,ok,0.76603,1.659797,,0.02,,
MLPRegressor,1191_BNG_pbc,ok,-0.107475,980.227381,,0.09,,
MLPRegressor,1193_BNG_lowbwt,ok,0.447438,500.943502,,0.09,,
MLPRegressor,1196_BNG_pharynx,ok,0.250738,359.097473,,0.09,,
MLPRegressor,1199_BNG_echoMonths,ok,0.480066,11.073473,,0.1,,
MLPRegressor,1201_BNG_breastTumor,ok,0.067491,11.487818,,0.09,,
MLPRegressor,1203_BNG_pwLinear,ok,0.38512,3.427707,,0.09,,
MLPRegressor,1595_poker,ok,-0.806051,1.662305,,0.09,,
MLPRegressor,192_vineyard,ok,0.745894,2.489533,,0.06,,
MLPRegressor,197_cpu_act,ok,0.342979,5.132248,,0.08,,
MLPRegressor,201_pol,ok,0.570193,30.043221,,0.12,,
MLPRegressor,210_cloud,ok,0.935672,0.311443,,0.07,,
MLPRegressor,215_2dplanes,ok,0.881283,1.489341,,0.1,,
MLPRegressor,218_house_8L,ok,0.539737,23889.631691,,0.11,,
MLPRegressor,225_puma8NH,ok,0.25003,4.875971,,0.11,,
MLPRegressor,227_cpu_small,ok,0.214848,5.610412,,0.1,,
MLPRegressor,228_elusage,ok,0.727336,11.632728,,0.05,,
MLPRegressor,229_pwLinear,ok,0.827146,1.72605,,0.11,,
MLPRegressor,230_machine_cpu,ok,0.89372,34.702315,,0.08,,
MLPRegressor,294_satellite_image,ok,0.788984,0.501192,,0.12,,
MLPRegressor,344_mv,ok,0.958424,2.203546,,0.09,,
MLPRegressor,4544_GeographicalOriginalofMusic,ok,0.395159,0.731874,,3.03,,
MLPRegressor,485_analcatdata_vehicle,ok,0.604734,178.841227,,0.06,,
MLPRegressor,503_wind,ok,0.695343,3.266913,,0.1,,
MLPRegressor,505_tecator,ok,0.930446,3.32778,,1.16,,
MLPRegressor,519_vinnie,ok,0.760813,1.367325,,0.06,,
MLPRegressor,522_pm10,ok,-0.028925,0.813482,,0.09,,
MLPRegressor,523_analcatdata_neavote,ok,0.921449,1.038192,,0.09,,
