algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
MLPRegressor,0.0,Black-box,0.45723086029411764,0.3233562497698663,136,136,0.0,,,0,0.09529411764705883,0.13518131131226896,136
MLPRegressor,0.0,Feynman,0.8774388739495798,0.19343557776942807,119,119,0.0,,,0,0.19764705882352937,0.0796465271818152,119
MLPRegressor,0.0,Strogatz,0.6896079285714285,0.33934703218805473,14,14,0.0,,,0,0.1992857142857143,0.06474378921377896,14
MLPRegressor,0.001,Black-box,0.4553219236641221,0.32423625269180634,131,131,0.0,,,0,0.13274809160305345,0.21630837472714556,131
MLPRegressor,0.001,Feynman,0.8774503529411766,0.19342997853485125,119,119,0.0,,,0,0.20689075630252104,0.07530444310343232,119
MLPRegressor,0.001,Strogatz,0.6900797857142857,0.3390805162377034,14,14,0.0,,,0,0.19,0.07775701798650618,14
MLPRegressor,0.01,Black-box,0.45765833823529406,0.32318473075003656,136,136,0.0,,,0,0.09713235294117648,0.12990542479041517,136
MLPRegressor,0.01,Feynman,0.8773862352941176,0.19338909793026893,119,119,0.0,,,0,0.20932773109243696,0.07913441785264,119
MLPRegressor,0.01,Strogatz,0.6914965714285716,0.3382505876701278,14,14,0.0,,,0,0.17357142857142854,0.08454467575076621,14
MLPRegressor,0.1,Black-box,0.45731727205882355,0.323361673231795,136,136,0.0,,,0,0.11411764705882353,0.2693406780853194,136
MLPRegressor,0.1,Feynman,0.8750611764705883,0.19292196888338423,119,119,0.0,,,0,0.19193277310924373,0.06854761194426574,119
MLPRegressor,0.1,Strogatz,0.7005227142857143,0.335440215731376,14,14,0.0,,,0,0.21714285714285714,0.08315218406203,14
