algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
MRGPRegressor,1027_ESL,ok,4.0,488.0,0.7612195413776386,0.6920785217269579,133.0,8.948017835617065,,"mul(div(cube(exp(sin(log(sub(square(log(div(square(X1), add(X4, exp(X3))))), add(add(add(cos(sqrt(add(sin(cube(X1)), quart(square(X2))))), div(sin(sin(cube(add(X1, mul(X1, X1))))), X3)), quart(X3)), mul(quart(X4), log(X2)))))))), div(sub(square(log(mul(X2, X4))), add(add(add(cos(sqrt(add(sin(cube(X1)), quart(square(X2))))), div(sin(sin(cube(add(X1, mul(X1, X3))))), sin(cube(add(exp(add(X2, add(square(X1), X3))), exp(X3)))))), quart(cube(exp(mul(X2, cos(div(X4, X2))))))), mul(quart(X4), log(X2)))), add(X4, exp(X3)))), square(sqrt(add(X3, X2))))"
MRGPRegressor,1028_SWD,ok,10.0,1000.0,0.45686636987886053,0.5847634080431056,86.0,5.810970306396484,,"add(X6, add(X7, add(mul(exp(sin(X3)), add(add(X5, mul(mul(sin(div(square(X3), cube(X10))), add(X9, add(sqrt(mul(X10, quart(X5))), add(X2, square(X3))))), add(add(sqrt(sub(add(X10, X4), sqrt(X2))), add(X2, mul(X3, X5))), sin(div(X1, cube(X10)))))), sin(X8))), add(mul(sin(div(square(X3), cube(X10))), log(sqrt(div(X5, X9)))), add(X9, add(sqrt(sub(add(X10, X4), sqrt(X2))), add(X2, add(X3, add(X5, X1)))))))))"
MRGPRegressor,1029_LEV,ok,4.0,1000.0,0.5392938726212166,0.6433149749919325,104.0,17.39781427383423,,"mul(div(cube(sub(X2, quart(sin(mul(X1, X3))))), div(square(X1), add(X4, quart(mul(div(div(cube(X2), add(X4, mul(div(square(cube(sub(X2, quart(X1)))), add(X4, X2)), square(sqrt(add(X3, X2)))))), mul(add(X4, quart(mul(div(div(cube(X2), add(X4, mul(div(cube(sub(div(X1, log(X2)), quart(sin(mul(X1, X3))))), div(square(X1), add(X4, X2))), square(sqrt(add(X3, X2)))))), mul(quart(X4), X4)), sqrt(cos(add(X3, X1)))))), X4)), sqrt(cos(add(X3, X1)))))))), square(sqrt(add(X3, X2))))"
MRGPRegressor,1030_ERA,ok,4.0,1000.0,0.3058612200600055,1.6700447951473931,57.0,8.452067375183105,,"div(cube(exp(X3)), div(div(mul(sub(add(square(div(X1, X2)), mul(exp(X4), cos(X4))), X2), add(quart(exp(X2)), sqrt(div(X2, X1)))), exp(sin(mul(log(X1), div(X1, X4))))), add(exp(div(X2, div(sin(X4), exp(X2)))), X2)))"
MRGPRegressor,1089_USCrime,ok,13.0,47.0,0.16998658922910237,33.1803836267959,41.0,9.476698637008667,,"sqrt(add(sin(cube(log(cos(div(mul(log(mul(X2, X4)), X13), exp(X4)))))), add(div(sin(sin(X2)), add(X13, X4)), cos(div(cos(div(exp(X13), div(X13, X1))), exp(X6))))))"
MRGPRegressor,1096_FacultySalaries,ok,4.0,50.0,-0.42879413617073614,4.101656607226754,40.0,14.91660451889038,,"add(cos(sqrt(add(sin(cube(X1)), square(cube(sqrt(add(cos(sqrt(add(sin(cube(X4)), square(X3)))), div(sin(sin(X2)), cube(X3))))))))), div(sin(sin(X2)), cube(cube(div(X2, X4)))))"
MRGPRegressor,1191_BNG_pbc,ok,18.0,1000000.0,0.33543240445659217,899.5563995810053,53.0,2079.083256006241,,"add(sin(mul(cube(sqrt(quart(X9))), square(mul(div(X9, X5), log(X1))))), cos(sqrt(add(sin(cube(X11)), quart(add(X7, add(X2, add(X9, add(X17, add(X6, add(X14, add(X12, add(X10, add(add(X6, add(X14, add(X12, add(X10, add(X16, add(X8, quart(X8))))))), add(X18, X9)))))))))))))))"
MRGPRegressor,1193_BNG_lowbwt,ok,9.0,31104.0,0.591431716987559,464.63874584135624,101.0,30.62324571609497,,"div(div(sqrt(exp(exp(X9))), div(div(X5, log(X1)), sub(sqrt(X4), square(X3)))), sub(sub(div(quart(X6), add(X7, X9)), quart(add(div(div(sqrt(exp(div(add(X4, X5), square(X1)))), div(div(exp(X8), log(X1)), sub(sqrt(X4), square(X3)))), sub(sub(div(quart(X6), div(add(X3, X8), square(X1))), quart(exp(X7))), div(cos(X5), X8))), sqrt(cos(cos(quart(X3))))))), X8))"
MRGPRegressor,1196_BNG_pharynx,ok,10.0,1000000.0,0.4809273178781629,300.33074974964904,63.0,1837.2437868118286,,"div(cos(square(quart(X1))), div(add(div(div(square(X10), X7), div(div(X4, X8), log(X9))), sub(X10, sub(sub(X10, X2), quart(mul(sin(div(square(X6), mul(X10, X6))), log(div(div(sqrt(X10), sin(X1)), div(div(X4, X8), log(X9))))))))), div(quart(quart(exp(X6))), div(cos(exp(X4)), square(div(square(X10), X1))))))"
MRGPRegressor,1199_BNG_echoMonths,ok,9.0,17496.0,0.443596912712223,11.965746038770662,66.0,19.07244873046875,,"add(div(div(cube(mul(X6, X3)), div(div(exp(X2), log(X1)), sub(add(mul(add(X2, X8), X8), mul(div(add(X3, X9), X1), X2)), square(X3)))), sub(sub(exp(sqrt(X5)), quart(exp(X7))), div(cos(exp(add(X5, X1))), square(div(quart(X5), X1))))), sqrt(cos(cos(quart(square(X1))))))"
