algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
MRGPRegressor,0.0,Black-box,0.651457399012756,0.3194250250737158,137,138,0.014598540145985401,51.24087591240876,30.644432741538314,137,62.262496643692906,255.05905465333745,137
MRGPRegressor,0.0,Feynman,0.9078448139375148,0.16342389981128047,119,119,0.17647058823529413,42.252100840336134,18.816337333121258,119,142.26131325409193,27.625782741190857,119
MRGPRegressor,0.0,Strogatz,0.9831169583257989,0.032250553370534764,14,14,0.5714285714285714,41.857142857142854,20.171789680172132,14,49.21128966127123,65.90162027661916,14
MRGPRegressor,0.001,Black-box,0.6215568144393664,0.3278745266821772,136,138,0.022058823529411766,53.080882352941174,36.163221576226334,136,48.97087384146803,195.84861326261114,136
MRGPRegressor,0.001,Feynman,0.9076231934849425,0.16417153384828706,119,119,0.19327731092436976,38.84873949579832,17.740902971048925,119,141.23014071007736,28.330710251728533,119
MRGPRegressor,0.001,Strogatz,0.9710485922101894,0.046237439584182534,14,14,0.42857142857142855,34.0,18.081014266989474,14,53.694948639188496,91.63597268418128,14
MRGPRegressor,0.01,Black-box,0.6462850539345778,0.3071940859331761,138,138,0.014492753623188406,50.31884057971015,29.75152219800673,138,46.62547889654187,180.68023757788058,138
MRGPRegressor,0.01,Feynman,0.9041928350877159,0.17204505251733235,119,119,0.15966386554621848,42.21008403361345,19.68561117367236,119,127.97119947441486,34.26645020497214,119
MRGPRegressor,0.01,Strogatz,0.9862976666459203,0.031119005808228337,14,14,0.42857142857142855,38.142857142857146,14.389403915900932,14,45.065679533141,67.85081950659745,14
MRGPRegressor,0.1,Black-box,0.6529866383642553,0.29683081501721614,138,138,0.007246376811594203,55.891304347826086,35.249824720299046,138,47.98654263779737,181.87623077307626,138
MRGPRegressor,0.1,Feynman,0.90446943418731,0.17326606940475528,119,119,0.15126050420168066,40.924369747899156,16.581672373725922,119,144.68080508007722,29.82154898929179,119
MRGPRegressor,0.1,Strogatz,0.94535629960344,0.10574890182843291,13,14,0.15384615384615385,47.84615384615385,13.27181320095433,13,65.77016463646522,88.81836336086923,13
