algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
OperonRegressor,1027_ESL,ok,4,200,0.8593020712675263,0.5312510878776496,60.0,49.26006579399109,,((-0.001) + (1.000 * ((((((21.841 * X3) - 13.146) + ((((20.738 * X4) - ((36.981 * X3) - 18.108)) * (((-1.269) * X2) - ((-1.431) * X1))) + ((-29.436) * X4))) / ((5.095 * X4) - (-22.126))) * ((((-0.000) * X2) - (0.001 - ((0.000 * X3) + ((-0.001) * X1)))) * (55.875 + ((((48.084 * X3) + (36.222 * X1)) + ((-15.015) * X4)) + ((-25.298) * X2))))) + ((0.287 * X4) - ((((-12.622) * X2) - (((-12.352) * X2) - ((-0.214) * X1))) + (((-0.289) * X3) - (-0.011)))))))
OperonRegressor,1028_SWD,ok,10,200,0.408612289659794,0.6101870534736281,60.0,130.2665696144104,,((-0.012) + (1.001 * (((((0.251 * X3) + (0.034 * X10)) + (0.065 * X2)) + (0.062 * X4)) + ((0.172 * X5) + ((((((-13.669) * X6) - ((32.968 * X7) + (44.869 * X8))) - (((((-27.666) * X3) - (7.890 * X1)) * (2.471 * X5)) - ((-53.987) * X9))) - ((48.517 * X3) - ((-55.728) * X10))) * (((((0.000 * X1) + ((0.000 * X3) + ((-0.002) * X10))) + (0.000 * X2)) - (0.001 * X5)) - (0.002 - ((((-0.814) * X3) - (1.789 * X10)) * ((0.000 * X1) + (((-0.000) * X3) - ((-0.001) * X10)))))))))))
OperonRegressor,1029_LEV,ok,4,200,0.517957936334386,0.6580427903708661,56.0,108.0575590133667,,((-0.020) + (0.998 * ((((0.164 * X1) + (0.633 * X2)) + (0.284 * X3)) - (((((0.028 * X1) + (((0.002 * X2) * ((1.020 * X1) + (1.746 * X2))) * (((-1.143) * X2) - (3.708 * X4)))) - (0.005 * X3)) - ((-0.034) * X4)) * (((-0.275) * X1) - (7.217 - ((((((-97.515) * X1) + (166.809 * X2)) - ((-175.521) * X4)) + ((-38.937) * X3)) * (((0.001 + (0.101 * X1)) + (0.017 * X3)) + ((((-0.120) * X1) + ((-0.033) * X2)) - ((-0.017) * X4))))))))))
OperonRegressor,1030_ERA,ok,4,200,0.32254278737528796,1.6498554725569428,64.0,58.068408489227295,,((-0.014) + (1.001 * (((0.097 * X4) + (((((-6385.487) * X4) - (((-8475.403) * X1) + ((-498.499) * X2))) + ((((-55.835) + ((-50.245) * X2)) + (32.814 * X4)) * (((-152.587) * X4) - ((353.068 * X2) + ((170452.359 * X2) / ((-2728.925) * X4)))))) / ((((8749847674880.000 * X2) / (4408597282816.000 * X4)) * (((-1063.789) * X1) + ((-666.512) * X2))) - ((((38761.984 * X1) + ((-48769.848) * X2)) + (28920.918 * X3)) - (4249.365 * 23.547))))) - (((((-0.293) * X1) + ((-0.253) * X2)) + ((-0.238) * X3)) + (((-0.004) * X1) + (0.021 * X2))))))
OperonRegressor,1089_USCrime,ok,13,47,0.4373893740692847,27.317617100692196,66.0,12.634089469909668,,((-0.003) + (1.000 * (((((1.763 * X13) - ((-1.140) * X4)) * (((-0.272) * X11) - ((-0.098) * X12))) + ((0.375 * X1) + (((((-0.004) * X11) - ((-0.002) * X12)) * ((((-10.920) - (12.631 * X12)) - (175.345 * X4)) - (108.074 * X9))) - (((1.456 * X11) - (0.165 * X4)) / (((-10.607) * X13) - ((-2.004) * X4)))))) - (((((-0.237) * X8) + (-0.083)) / (((-3.909) * X13) - ((-0.381) * X4))) + (((0.991 * X13) - ((-0.118) * X4)) - ((((-0.294) * X12) + (-0.514)) / (((-2.347) * X13) - (3.097 * X4))))))))
OperonRegressor,1096_FacultySalaries,ok,4,50,0.9998412860094126,0.043229685328346,56.0,11.597963333129883,,(0.000 + (1.000 * ((-0.006) * (((((-0.604) - (17.206 * X4)) + (((-0.604) - (0.007 * X4)) + (((-0.050) * X1) + ((65.491 * X2) + (2.631 + ((-7.378) * X2)))))) + ((-32.217) * X3)) * ((((((0.258 * X2) + ((-7.052) - ((-0.745) * X4))) - (((3.931 * X2) + ((-2.346) * X4)) / ((-0.324) * X3))) * (((((-28.815) * X2) + (12.456 * X4)) + (15.710 * X3)) - (((11.390 * X2) + ((-4.459) * X4)) / (3.499 * X3)))) * (-0.042)) - 17.782)))))
OperonRegressor,1191_BNG_pbc,ok,18,200,0.29978965413452285,923.3642982945145,40.0,7201.886779785156,,(0.022 + (1.100 * ((((((-0.330) * X11) - (-3.763)) + (((((-2074.927) * X1) + (283.709 * X6)) + (885.936 * X18)) / (-929.170))) / (-10.517)) + ((((0.232 * X1) + (0.128 * X6)) - ((((0.241 * X11) - ((-0.178) * X12)) * 0.215) - (((0.765 * X7) + (1.242 * X1)) * 0.099))) - (((-0.338) + ((-0.283) * X11)) + (0.175 * X9))))))
OperonRegressor,1193_BNG_lowbwt,ok,9,200,0.595124853104308,462.5339942062492,58.0,2508.9837810993195,,(0.000 + (1.000 * (((-0.027) + (0.018 * X1)) * ((((((-37.209) * X1) - 21.231) * ((-13.283) + (0.345 * X9))) - (((-3.601) * X5) + (27.091 * X8))) + ((((-19.657) / (((-0.296) * X3) + (1.274 * X1))) + ((4.387 * X3) + (25.653 * X6))) - (((((-19.280) * X5) / (((-85.998) * X5) + ((-3.506) * X8))) - (((-3.068) * X4) - (113.211 / (8.999 * X1)))) - ((851.674 / ((-494.146) * X9)) - ((0.053 * X1) * (((-121.108) + (679.763 * X8)) + ((-735.709) * X6))))))))))
OperonRegressor,1196_BNG_pharynx,ok,10,200,0.43312215770648954,313.8560137916516,52.0,7203.5930190086365,,((-0.000) + (0.998 * (((((((-0.099) * X10) + ((-0.149) * X6)) - ((-0.153) * X10)) + ((-0.107) * X8)) + ((((86.014 - ((-54.350) * X1)) * ((-0.368) * ((-0.066) * X10))) + (4.471 - (0.403 * X5))) * (0.053 * X10))) + ((((((((-8.961) * X9) + ((-72.913) * X10)) + (1.064 * X8)) + ((-17.172) * X8)) / ((-247.506) * X9)) + (0.737 - ((-0.012) * X5))) / ((-2.005) - ((-3.630) * X10))))))
OperonRegressor,1199_BNG_echoMonths,ok,9,200,0.44552610884730903,11.94498382867778,63.0,2174.162347793579,,(0.000 + (1.000 * ((((((-2625177496191840026624.000) + ((5677177656928370688.000 * X2) + ((-1227452841477596512256.000) * X9))) + ((((638194125670581272576.000 * X8) + ((-506698445963082596352.000) * X1)) + ((493793662705829150720.000 * X5) + (312898456082540658688.000 * X8))) + (((789692965335511072768.000 * X5) + (592438749725148053504.000 * X1)) + ((8920477474123415552.000 * X3) + ((-571890865319037632512.000) * X8))))) + ((((-1271627805797543575552.000) * X5) + (711917770095659581440.000 * X1)) + (((-745249192412805332992.000) * X1) + (1247752816797969022976.000 * X9)))) + (((-372500676847905800192.000) * X8) + 2594129117410794405888.000)) / ((((((-1707453184689045504.000) * X7) - (((-974590201869369344.000) * X3) - ((-10958625685857370112.000) * X9))) + (((-6669518237077602304.000) * X5) + (59863592271473541120.000 * X1))) + (((-5696375129949339648.000) * X3) - ((-350552619359404032.000) * X3))) + (-142923071180742066176.000)))))
