algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
RandomForestRegressor,1027_ESL,ok,0.835273,0.64511,,0.08,,
RandomForestRegressor,1028_SWD,ok,0.4242,0.641008,,0.09,,
RandomForestRegressor,1029_LEV,ok,0.728615,0.473918,,0.09,,
RandomForestRegressor,1030_ERA,ok,0.057109,1.761281,,0.08,,
RandomForestRegressor,1089_USCrime,ok,0.684318,20.462744,,0.08,,
RandomForestRegressor,1096_FacultySalaries,ok,0.817446,1.466123,,0.08,,
RandomForestRegressor,1191_BNG_pbc,ok,0.221155,822.025754,,0.15,,
RandomForestRegressor,1193_BNG_lowbwt,ok,0.631609,409.027638,,0.1,,
RandomForestRegressor,1196_BNG_pharynx,ok,0.258162,357.314129,,0.1,,
RandomForestRegressor,1199_BNG_echoMonths,ok,0.496904,10.892688,,0.12,,
RandomForestRegressor,1201_BNG_breastTumor,ok,0.026843,11.735523,,0.1,,
RandomForestRegressor,1203_BNG_pwLinear,ok,0.623587,2.68189,,0.1,,
RandomForestRegressor,1595_poker,ok,-0.259155,1.387987,,0.11,,
RandomForestRegressor,192_vineyard,ok,0.681428,2.787498,,0.08,,
RandomForestRegressor,197_cpu_act,ok,0.772681,3.018812,,0.18,,
RandomForestRegressor,201_pol,ok,0.863258,16.945729,,0.14,,
RandomForestRegressor,210_cloud,ok,0.870554,0.441796,,0.09,,
RandomForestRegressor,215_2dplanes,ok,0.927207,1.166227,,0.1,,
RandomForestRegressor,218_house_8L,ok,0.354203,28297.91173,,0.13,,
RandomForestRegressor,225_puma8NH,ok,0.567189,3.704149,,0.13,,
RandomForestRegressor,227_cpu_small,ok,0.737825,3.242004,,0.15,,
RandomForestRegressor,228_elusage,ok,0.814585,9.592685,,0.07,,
RandomForestRegressor,229_pwLinear,ok,0.833081,1.696162,,0.1,,
RandomForestRegressor,230_machine_cpu,ok,0.935274,27.081393,,0.1,,
RandomForestRegressor,294_satellite_image,ok,0.803787,0.483293,,0.23,,
RandomForestRegressor,344_mv,ok,0.978369,1.589408,,0.12,,
RandomForestRegressor,4544_GeographicalOriginalofMusic,ok,0.639705,0.564866,,0.72,,
RandomForestRegressor,485_analcatdata_vehicle,ok,0.850431,110.012995,,0.07,,
RandomForestRegressor,503_wind,ok,0.659452,3.453993,,0.15,,
RandomForestRegressor,505_tecator,ok,0.98077,1.749756,,0.74,,
RandomForestRegressor,519_vinnie,ok,0.761332,1.365843,,0.08,,
RandomForestRegressor,522_pm10,ok,0.239312,0.699455,,0.12,,
RandomForestRegressor,523_analcatdata_neavote,ok,0.94844,0.841125,,0.18,,
RandomForestRegressor,527_analcatdata_election2000,ok,0.73466,58185.310187,,0.09,,
RandomForestRegressor,529_pollen,ok,0.440184,2.065711,,0.1,,
