algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
RandomForestRegressor,0.0,Black-box,0.6970582898550723,0.21018608150909743,138,138,0.014492753623188406,,,0,0.1536231884057971,0.11361313554277978,138
RandomForestRegressor,0.0,Feynman,0.7737249663865546,0.2545927960995332,119,119,0.008403361344537815,,,0,0.29226890756302515,0.09247479706852167,119
RandomForestRegressor,0.0,Strogatz,0.9799613571428573,0.03033225375127718,14,14,0.07142857142857142,,,0,0.2821428571428571,0.06761640349780533,14
RandomForestRegressor,0.001,Black-box,0.6924746842105263,0.21224340198233696,133,133,0.015037593984962405,,,0,0.2274436090225564,0.1897552416145852,133
RandomForestRegressor,0.001,Feynman,0.7732344369747902,0.25467275008327245,119,119,0.008403361344537815,,,0,0.3016806722689075,0.09563631080979093,119
RandomForestRegressor,0.001,Strogatz,0.9801425714285715,0.030691281770647415,14,14,0.07142857142857142,,,0,0.26785714285714285,0.06852047099265259,14
RandomForestRegressor,0.01,Black-box,0.6965266739130435,0.2105996613289214,138,138,0.007246376811594203,,,0,0.15695652173913047,0.11448780699208623,138
RandomForestRegressor,0.01,Feynman,0.7726510672268907,0.25564175590100296,119,119,0.008403361344537815,,,0,0.28571428571428564,0.08438783979966111,119
RandomForestRegressor,0.01,Strogatz,0.9789500714285715,0.03071061468579097,14,14,0.0,,,0,0.26857142857142857,0.07502380574571933,14
RandomForestRegressor,0.1,Black-box,0.6951237536231883,0.21112338114185975,138,138,0.0,,,0,0.16369565217391308,0.12941234999536708,138
RandomForestRegressor,0.1,Feynman,0.7705636386554621,0.2560246149030726,119,119,0.0,,,0,0.2834453781512605,0.08562271374941006,119
RandomForestRegressor,0.1,Strogatz,0.8872907142857144,0.2062455903302694,14,14,0.0,,,0,0.24214285714285716,0.06518359532045696,14
