algorithm,dataset,status,r2,rmse,complexity,seconds,error,expression
XGBRegressor,1027_ESL,ok,0.766699,0.767732,,0.06,,
XGBRegressor,1028_SWD,ok,0.37105,0.669939,,0.06,,
XGBRegressor,1029_LEV,ok,0.64168,0.54456,,0.07,,
XGBRegressor,1030_ERA,ok,-0.043363,1.852745,,0.05,,
XGBRegressor,1089_USCrime,ok,0.514073,25.38777,,0.07,,
XGBRegressor,1096_FacultySalaries,ok,0.800196,1.533828,,0.06,,
XGBRegressor,1191_BNG_pbc,ok,-0.030386,945.496541,,0.1,,
XGBRegressor,1193_BNG_lowbwt,ok,0.576093,438.766485,,0.1,,
XGBRegressor,1196_BNG_pharynx,ok,0.111782,390.980678,,0.09,,
XGBRegressor,1199_BNG_echoMonths,ok,0.446757,11.422673,,0.08,,
XGBRegressor,1201_BNG_breastTumor,ok,-0.162933,12.828865,,0.07,,
XGBRegressor,1203_BNG_pwLinear,ok,0.254031,3.775454,,0.06,,
XGBRegressor,1595_poker,ok,-0.476026,1.50277,,0.06,,
XGBRegressor,192_vineyard,ok,0.645359,2.941068,,0.06,,
XGBRegressor,197_cpu_act,ok,0.751852,3.154088,,0.09,,
XGBRegressor,201_pol,ok,0.769745,21.989421,,0.08,,
XGBRegressor,210_cloud,ok,0.897409,0.393308,,0.06,,
XGBRegressor,215_2dplanes,ok,0.912086,1.281645,,0.08,,
XGBRegressor,218_house_8L,ok,0.18848,31721.670447,,0.1,,
XGBRegressor,225_puma8NH,ok,0.596768,3.575335,,0.09,,
XGBRegressor,227_cpu_small,ok,0.616442,3.921329,,0.1,,
XGBRegressor,228_elusage,ok,0.679521,12.611523,,0.05,,
XGBRegressor,229_pwLinear,ok,0.821768,1.752695,,0.06,,
XGBRegressor,230_machine_cpu,ok,0.901592,33.392426,,0.06,,
XGBRegressor,294_satellite_image,ok,0.917243,0.313868,,0.08,,
XGBRegressor,344_mv,ok,0.984232,1.357008,,0.08,,
XGBRegressor,4544_GeographicalOriginalofMusic,ok,0.547428,0.633082,,0.42,,
XGBRegressor,485_analcatdata_vehicle,ok,0.883315,97.16977,,0.05,,
XGBRegressor,503_wind,ok,0.564701,3.905046,,0.09,,
XGBRegressor,505_tecator,ok,0.985449,1.522079,,0.43,,
XGBRegressor,519_vinnie,ok,0.758983,1.372546,,0.05,,
XGBRegressor,522_pm10,ok,0.223369,0.706747,,0.08,,
XGBRegressor,523_analcatdata_neavote,ok,0.950355,0.825353,,0.07,,
XGBRegressor,527_analcatdata_election2000,ok,0.574252,73703.564759,,0.06,,
XGBRegressor,529_pollen,ok,0.276008,2.349168,,0.07,,
XGBRegressor,537_houses,ok,0.563284,68334.604964,,0.07,,
XGBRegressor,542_pollution,ok,0.435253,45.90434,,0.06,,
XGBRegressor,547_no2,ok,0.554608,0.531778,,0.07,,
XGBRegressor,556_analcatdata_apnea2,ok,0.659302,1387.323672,,0.05,,
XGBRegressor,557_analcatdata_apnea1,ok,0.653443,1176.401946,,0.06,,
XGBRegressor,560_bodyfat,ok,0.955035,1.494039,,0.08,,
XGBRegressor,561_cpu,ok,0.951437,18.404732,,0.06,,
XGBRegressor,562_cpu_small,ok,0.616442,3.921329,,0.08,,
XGBRegressor,564_fried,ok,0.819762,2.452538,,0.09,,
XGBRegressor,573_cpu_act,ok,0.751852,3.154088,,0.14,,
XGBRegressor,574_house_16H,ok,0.106156,33291.799542,,0.1,,
XGBRegressor,579_fri_c0_250_5,ok,0.71923,0.535201,,0.08,,
XGBRegressor,581_fri_c3_500_25,ok,0.682104,0.637249,,0.14,,
XGBRegressor,582_fri_c1_500_25,ok,0.697496,0.51156,,0.15,,
XGBRegressor,583_fri_c1_1000_50,ok,0.683095,0.557655,,0.23,,
XGBRegressor,584_fri_c4_500_25,ok,0.637072,0.561761,,0.14,,
XGBRegressor,586_fri_c3_1000_25,ok,0.638223,0.573979,,0.14,,
XGBRegressor,588_fri_c4_1000_100,ok,0.399937,0.66906,,0.36,,
XGBRegressor,589_fri_c2_1000_25,ok,0.582498,0.629997,,0.17,,
XGBRegressor,590_fri_c0_1000_50,ok,0.542297,0.673255,,0.23,,
XGBRegressor,591_fri_c1_100_10,ok,0.873501,0.35521,,0.06,,
XGBRegressor,592_fri_c4_1000_25,ok,0.708881,0.567116,,0.14,,
XGBRegressor,593_fri_c1_1000_10,ok,0.76809,0.432244,,0.12,,
XGBRegressor,594_fri_c2_100_5,ok,0.63329,0.625741,,0.08,,
XGBRegressor,595_fri_c0_1000_10,ok,0.663702,0.572235,,0.09,,
XGBRegressor,596_fri_c2_250_5,ok,0.871606,0.387815,,0.07,,
XGBRegressor,597_fri_c2_500_5,ok,0.86938,0.384919,,0.07,,
XGBRegressor,598_fri_c0_1000_25,ok,0.512662,0.667108,,0.15,,
XGBRegressor,599_fri_c2_1000_5,ok,0.847667,0.408601,,0.07,,
XGBRegressor,601_fri_c1_250_5,ok,0.870955,0.354858,,0.07,,
XGBRegressor,602_fri_c3_250_10,ok,0.852538,0.388279,,0.09,,
XGBRegressor,603_fri_c0_250_50,ok,0.594363,0.565661,,0.22,,
XGBRegressor,604_fri_c4_500_10,ok,0.782411,0.507481,,0.1,,
XGBRegressor,605_fri_c2_250_25,ok,0.713718,0.534315,,0.16,,
XGBRegressor,606_fri_c2_1000_10,ok,0.796133,0.450087,,0.09,,
XGBRegressor,607_fri_c4_1000_50,ok,0.760584,0.605338,,0.31,,
XGBRegressor,608_fri_c3_1000_10,ok,0.785835,0.443178,,0.1,,
XGBRegressor,609_fri_c0_1000_5,ok,0.774355,0.46884,,0.08,,
XGBRegressor,611_fri_c3_100_5,ok,0.624226,0.648781,,0.06,,
XGBRegressor,612_fri_c1_1000_5,ok,0.79848,0.454088,,0.11,,
XGBRegressor,613_fri_c3_250_5,ok,0.74038,0.425287,,0.07,,
XGBRegressor,615_fri_c4_250_10,ok,0.840871,0.347497,,0.13,,
XGBRegressor,616_fri_c4_500_50,ok,0.644769,0.616616,,0.22,,
XGBRegressor,617_fri_c3_500_5,ok,0.868722,0.302868,,0.08,,
XGBRegressor,618_fri_c3_1000_50,ok,0.751933,0.442972,,0.25,,
XGBRegressor,620_fri_c1_1000_25,ok,0.789597,0.489665,,0.15,,
XGBRegressor,621_fri_c0_100_10,ok,0.608351,0.643194,,0.07,,
XGBRegressor,622_fri_c2_1000_50,ok,0.748218,0.479257,,0.24,,
XGBRegressor,623_fri_c4_1000_10,ok,0.808936,0.344343,,0.09,,
XGBRegressor,624_fri_c0_100_5,ok,0.469606,0.700937,,0.06,,
XGBRegressor,626_fri_c2_500_50,ok,0.766402,0.442681,,0.22,,
XGBRegressor,627_fri_c2_500_10,ok,0.80109,0.391811,,0.09,,
XGBRegressor,628_fri_c3_1000_5,ok,0.780372,0.478696,,0.07,,
XGBRegressor,631_fri_c1_500_5,ok,0.744845,0.468243,,0.07,,
XGBRegressor,633_fri_c0_500_25,ok,0.686017,0.510176,,0.14,,
