algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
XGBRegressor,0.0,Black-box,0.651323579710145,0.25479617695265894,138,138,0.007246376811594203,,,0,0.10007246376811593,0.06696220065464752,138
XGBRegressor,0.0,Feynman,0.7622398739495799,0.27144403744554463,119,119,0.0,,,0,0.3064705882352941,0.06427678806186064,119
XGBRegressor,0.0,Strogatz,0.9721057857142859,0.028678355617966486,14,14,0.0,,,0,0.29857142857142854,0.015118578920369082,14
XGBRegressor,0.001,Black-box,0.6473522932330826,0.2556546050489588,133,133,0.007518796992481203,,,0,0.16075187969924815,0.13917301234026735,133
XGBRegressor,0.001,Feynman,0.7634262605042015,0.2695631078992061,119,119,0.0,,,0,0.31731092436974795,0.05556638233454171,119
XGBRegressor,0.001,Strogatz,0.9713465000000001,0.029078154305383484,14,14,0.0,,,0,0.28142857142857153,0.026849192182989805,14
XGBRegressor,0.01,Black-box,0.6488561014492753,0.25952254379024936,138,138,0.007246376811594203,,,0,0.10355072463768117,0.070739583325788,138
XGBRegressor,0.01,Feynman,0.7611676974789915,0.271249273646565,119,119,0.0,,,0,0.30268907563025205,0.06498627598260615,119
XGBRegressor,0.01,Strogatz,0.9709732142857144,0.02778923455136088,14,14,0.0,,,0,0.28285714285714286,0.04046433784658581,14
XGBRegressor,0.1,Black-box,0.6481956304347826,0.25641779220596633,138,138,0.0,,,0,0.11717391304347827,0.11791367082343794,138
XGBRegressor,0.1,Feynman,0.7624967563025209,0.26688182519882664,119,119,0.0,,,0,0.2961344537815126,0.07530850947593672,119
XGBRegressor,0.1,Strogatz,0.8248319285714285,0.31762839316492625,14,14,0.0,,,0,0.29071428571428576,0.05030129004528393,14
