algorithm,noise,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
ffx,0.0,Black-box,0.37707174264705884,0.3743122275264426,136,136,0.0,1253.9632352941176,725.4297159011467,136,21.461544117647055,17.75031070687586,136
ffx,0.0,Feynman,0.6240727983193276,0.4333888642812318,119,119,0.008403361344537815,759.7647058823529,716.0138326696471,119,19.5955462184874,8.977744205126154,119
ffx,0.0,Strogatz,0.9315551428571428,0.10668603083516906,14,14,0.21428571428571427,182.5,203.9512573744408,14,11.744285714285715,4.5756676087685895,14
ffx,0.001,Black-box,0.3790939083969466,0.3787949202687883,131,131,0.0,1250.0152671755725,706.2820637757087,131,29.54618320610687,25.62183616365046,131
ffx,0.001,Feynman,0.6325641512605041,0.4300992426618524,119,119,0.01680672268907563,771.7058823529412,733.085681316683,119,19.55756302521009,8.418570771890744,119
ffx,0.001,Strogatz,0.9149103571428571,0.12163948796695355,14,14,0.21428571428571427,181.78571428571428,209.66096389223196,14,10.767142857142858,2.9723661348428188,14
ffx,0.01,Black-box,0.37763575735294125,0.3820801324194916,136,136,0.0,1238.75,688.4359164883185,136,21.91595588235294,18.182533636704513,136
ffx,0.01,Feynman,0.6568831344537815,0.41915804079867675,119,119,0.025210084033613446,736.0168067226891,710.0817449145577,119,19.93840336134453,9.030161042090572,119
ffx,0.01,Strogatz,0.935604642857143,0.10267394647479366,14,14,0.21428571428571427,199.71428571428572,214.82888667367465,14,9.742142857142856,2.6359735570385743,14
ffx,0.1,Black-box,0.3179749705882353,0.3661087144418726,136,136,0.0,1308.264705882353,702.0293465987293,136,24.023823529411764,20.74148510911382,136
ffx,0.1,Feynman,0.6063650756302521,0.42512726092976766,119,119,0.008403361344537815,1008.0168067226891,636.1575860519243,119,21.19840336134454,8.323986983023696,119
ffx,0.1,Strogatz,0.9468025714285717,0.10294641353689737,14,14,0.0,456.42857142857144,211.9534470969126,14,13.98857142857143,4.0437869858355775,14
