algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
tuned.DSRRegressor,1027_ESL,ok,4.0,488.0,0.7081767250946653,0.7650960217990992,18.0,825.5696942806244,,(2*x3 + x4 - sin(x3))*sin(x3)/(x3 + sin(x3))
tuned.DSRRegressor,1028_SWD,ok,10.0,1000.0,0.3544204180835232,0.6375316270596332,7.0,397.0396234989166,,(x3 + sin(x10))*cos(x6)
tuned.DSRRegressor,1029_LEV,ok,4.0,1000.0,0.41463818038470013,0.7251433403181072,9.0,426.39498829841614,,sin(x1/2) + sin(x2)
tuned.DSRRegressor,1030_ERA,ok,4.0,1000.0,0.3203280346071089,1.6525501374992035,14.0,1350.9430754184723,,(x2 + sin(x1))*exp(-sin(x2)/x2)
tuned.DSRRegressor,1089_USCrime,ok,13.0,47.0,0.5728964083590904,23.80156205690148,11.0,264.59782433509827,,x1*exp(-exp(x5)) - x13
tuned.DSRRegressor,1096_FacultySalaries,ok,4.0,50.0,0.9272467944468942,0.9255513855601712,11.0,918.7243597507477,,x4 - sin(-2*x2 + x3 + x4)
tuned.DSRRegressor,1191_BNG_pbc,ok,18.0,1000000.0,0.1971734230817218,988.7117319194226,6.0,35320.148557662964,,(x1 + x11)*sin(x5)
tuned.DSRRegressor,1193_BNG_lowbwt,ok,9.0,31104.0,0.5487770634285447,488.2909571396768,28.0,3420.3124437332153,,x1*exp((-x1 + cos(x1 + exp(exp(x1))))*cos(x1)) - 2*x1 + cos(x1**2*x8)
tuned.DSRRegressor,1196_BNG_pharynx,error,10.0,1000000.0,,,,,missing result,
tuned.DSRRegressor,1199_BNG_echoMonths,ok,9.0,17496.0,0.4172865724019116,12.245387379535106,13.0,1899.306435585022,,sin(exp(x1*x9 + 4*x1 + exp(x1**2)))
tuned.DSRRegressor,1201_BNG_breastTumor,ok,9.0,116640.0,0.025390668696721685,10.210818129074896,15.0,2204.4262306690216,,(-cos(x4) + cos(x5))*exp(-exp(exp(sin(x8))))
tuned.DSRRegressor,1203_BNG_pwLinear,ok,10.0,177147.0,0.45913673809669586,3.2923733617948967,14.0,6455.048891544342,,cos(x5 + (x1 - x5)*exp(x1*exp(x1)))
tuned.DSRRegressor,1595_poker,ok,10.0,1025010.0,0.00043345651607129554,0.7730193544182674,14.0,31408.27706885338,,sin(exp(x6 - exp(exp(x4)) - exp(exp(x6))))
tuned.DSRRegressor,192_vineyard,ok,2.0,52.0,0.34163499127965236,4.007227616604004,18.0,1292.8933629989624,,x1*x2*sin(x1*(-x1 + x2 + log(x2**2 + exp(x1))))
tuned.DSRRegressor,197_cpu_act,ok,21.0,8192.0,0.794102310248133,8.317990492219502,10.0,1012.8644173145294,,x21 - sin(x21) + sin(x17*x19)
tuned.DSRRegressor,201_pol,ok,48.0,15000.0,0.41671825105940974,32.0913428278617,10.0,3245.417718887329,,-sin(-x30 + x5 + x6 + x7)
tuned.DSRRegressor,210_cloud,ok,5.0,108.0,0.9426348654448505,0.2941044318943926,11.0,821.0061655044556,,x3/2 + x4/2
tuned.DSRRegressor,215_2dplanes,ok,10.0,40768.0,0.567830593371301,2.8826138535037904,26.0,1312.7430346012115,,sin(exp(-x1 + (x5*(x1 - x1/x5) + exp(x1))/x1**2))
tuned.DSRRegressor,218_house_8L,ok,8.0,22784.0,0.3134364028794965,42149.717367467034,14.0,822.0473353862762,,x7*cos(x1 - exp(x1*x2)) + sin(x2)
tuned.DSRRegressor,225_puma8NH,ok,8.0,8192.0,0.59890207733339,3.580680627916834,10.0,1004.3969419002533,,x2*sin(x2 + x3)/sin(x2)
tuned.DSRRegressor,227_cpu_small,ok,12.0,8192.0,0.7947919906812746,8.304047724448406,8.0,329.312397480011,,x12 - sin(x12 + x7)
tuned.DSRRegressor,228_elusage,ok,2.0,55.0,0.6659204653153072,12.87634224822123,12.0,433.53821849823,,x1*exp(x1 - E) - x1
tuned.DSRRegressor,229_pwLinear,ok,10.0,200.0,0.551475554760732,2.780399256336907,9.0,312.06313848495483,,(-x1 + sin(x5))*cos(x1)
tuned.DSRRegressor,230_machine_cpu,ok,6.0,209.0,0.309467446074255,97.35048060309946,15.0,257.5093266963959,,(2*x3 - sin(x3))*sin(x4/x3)
tuned.DSRRegressor,294_satellite_image,ok,36.0,6435.0,0.6949796225627839,1.23725321141479,9.0,836.215250492096,,-sin(x10 + x20 - x9)
tuned.DSRRegressor,344_mv,ok,10.0,40768.0,0.865925523076543,3.8201787388446524,7.0,557.4898724555969,,x6*cos(x8) + sin(x8)
tuned.DSRRegressor,4544_GeographicalOriginalofMusic,ok,117.0,1059.0,0.7125852063773664,0.5084068030924518,6.0,597.3166086673737,,x100 + x42 - x43
tuned.DSRRegressor,485_analcatdata_vehicle,ok,4.0,48.0,0.7884271188502694,130.84368750035753,17.0,930.9081676006317,,cos(x1*exp(x1) - x3/(exp(x1) + exp(x2)))
tuned.DSRRegressor,503_wind,ok,14.0,6574.0,0.6484922113550591,3.9752951417398226,4.0,911.2864859104156,,x13*sin(1)
tuned.DSRRegressor,505_tecator,ok,124.0,240.0,0.9788805754709341,2.148822748269125,12.0,421.98314213752747,,-x123 - x20 + x28 + x69 - x79
tuned.DSRRegressor,519_vinnie,ok,2.0,380.0,0.7721713844348904,1.6611258289842297,13.0,400.01882004737854,,x2 + log(sin(x2)/x2)/x2
tuned.DSRRegressor,522_pm10,ok,7.0,500.0,0.08044549193591843,0.8617851016120565,8.0,1138.9866909980774,,sin(x1*exp(-exp(x4)))
tuned.DSRRegressor,523_analcatdata_neavote,ok,2.0,100.0,0.9512338062555102,0.8180160170096861,31.0,616.289915561676,,-x1 + sin(exp(x1*(x1 - x1*exp(E - x1)/(x1**2 + x1)) - x1))
tuned.DSRRegressor,527_analcatdata_election2000,ok,14.0,67.0,0.9885665336066449,12078.17455731163,6.0,988.3189377784729,,x10 + x11 - x14
tuned.DSRRegressor,529_pollen,ok,4.0,3848.0,0.5736151332785335,2.0171881649875996,20.0,1342.0140147209167,,-x1 - x4 - sin(x1 + x4*exp(x4/x1))
tuned.DSRRegressor,537_houses,ok,8.0,20640.0,0.5089564937109975,80459.58856512092,14.0,1426.081972360611,,x1 - (x3 - x4)*exp(-x3)
tuned.DSRRegressor,542_pollution,ok,15.0,60.0,0.20595605486388402,54.43132070905411,12.0,975.9219372272491,,x9 - sin(x2) - sin(x11*x9)
tuned.DSRRegressor,547_no2,ok,7.0,500.0,0.34137984850341063,0.5922226014750182,7.0,982.1934218406677,,x4*cos(x7) + sin(x1)
tuned.DSRRegressor,556_analcatdata_apnea2,ok,3.0,475.0,0.6852855594112137,1538.6742289708395,29.0,936.7421305179596,,x1*x2*((x2 - sin(x3))*sin(x1*x2*exp(x1)) + exp(x1))*cos(x1)*cos(x2)/cos(x1 + x2)
tuned.DSRRegressor,557_analcatdata_apnea1,ok,3.0,475.0,0.31121446918378015,1950.9998558967939,12.0,496.21557688713074,,exp(sin(x2*exp(x1)))*sin(x1*exp(x1))
tuned.DSRRegressor,560_bodyfat,ok,14.0,252.0,0.9989230615483122,0.2375142404421977,3.0,301.13511300086975,,-x1
tuned.DSRRegressor,561_cpu,ok,7.0,209.0,0.6960803439202632,60.79891285388775,10.0,794.8264417648315,,x4**2/(x4 + sin(x4))
tuned.DSRRegressor,562_cpu_small,ok,12.0,8192.0,0.8027643795652581,8.141142527851214,10.0,340.0969035625458,,x12 - sin(x12) + sin(x10*x6)
tuned.DSRRegressor,564_fried,ok,10.0,40768.0,0.6546224825077167,2.936887427035963,7.0,2426.2581293582916,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,573_cpu_act,ok,21.0,8192.0,0.7947919906812746,8.304047724448406,8.0,319.3668646812439,,x21 - sin(x21 + x7)
tuned.DSRRegressor,574_house_16H,ok,16.0,22784.0,0.1367780098346667,47262.37352193234,5.0,1424.9961369037628,,sin(x10 + x6 + x7)
tuned.DSRRegressor,579_fri_c0_250_5,ok,5.0,250.0,0.5468089149147195,0.6280344386580764,7.0,364.60333776474,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,581_fri_c3_500_25,ok,25.0,500.0,0.5384385565503054,0.6697545383133887,9.0,1113.2441334724426,,sin(x4) - sin(x1 + x2)
tuned.DSRRegressor,582_fri_c1_500_25,ok,25.0,500.0,0.4951718136811045,0.7348514731509643,9.0,1101.7484078407288,,-x2*cos(x2) + sin(x4)
tuned.DSRRegressor,583_fri_c1_1000_50,ok,50.0,1000.0,0.39459612613749107,0.7661715597644786,9.0,407.48256969451904,,(-x2 + sin(x4))*cos(x2)
tuned.DSRRegressor,584_fri_c4_500_25,ok,25.0,500.0,0.5986865254936382,0.6600869034173341,13.0,909.0003418922424,,-x2 + x5 - sin(x1 + 2*x2)
tuned.DSRRegressor,586_fri_c3_1000_25,ok,25.0,1000.0,0.4928791013102076,0.7212371117431019,5.0,1057.3902988433838,,cos(x1 + exp(x2))
tuned.DSRRegressor,588_fri_c4_1000_100,ok,100.0,1000.0,0.33090839002751804,0.8291689910217064,6.0,1525.5656151771545,,x5 - sin(x2)
tuned.DSRRegressor,589_fri_c2_1000_25,ok,25.0,1000.0,0.621247023560739,0.6003466526431316,15.0,1203.2606580257416,,-sin(x1 + x2 - exp(x2 - exp(x2)))
tuned.DSRRegressor,590_fri_c0_1000_50,ok,50.0,1000.0,0.6918047118395352,0.5442466984083865,7.0,312.764041185379,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,591_fri_c1_100_10,ok,10.0,100.0,0.7691878507202083,0.479811895765669,14.0,1308.1108012199402,,(-sin(x2) - sin(x1 + x2))*cos(x2)
tuned.DSRRegressor,592_fri_c4_1000_25,ok,25.0,1000.0,0.5781641549329033,0.6362606207475642,14.0,1233.6449677944183,,x5 - sin(x2) - sin(x1*x2 + x1)
tuned.DSRRegressor,593_fri_c1_1000_10,ok,10.0,1000.0,0.5142731429169705,0.659753899567287,9.0,921.3367667198181,,sin(x4) - sin(x1 + x2)
tuned.DSRRegressor,594_fri_c2_100_5,ok,5.0,100.0,0.6556105192029942,0.6063983798219311,16.0,300.5246813297272,,(2*cos(x2) - cos(exp(x1)))*cos(x2 + exp(x1))
tuned.DSRRegressor,595_fri_c0_1000_10,ok,10.0,1000.0,0.6066184566999332,0.6082926807640895,7.0,1207.5856833457947,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,596_fri_c2_250_5,ok,5.0,250.0,0.6612528459331852,0.6063401811664276,12.0,298.91625595092773,,cos(x2 + exp(x1) + exp(x2 - exp(x1)))
tuned.DSRRegressor,597_fri_c2_500_5,ok,5.0,500.0,0.6403376124435347,0.594887311926922,15.0,1081.2534799575806,,-sin(x1 + x2 - exp(x2 - exp(x2)))
tuned.DSRRegressor,598_fri_c0_1000_25,ok,25.0,1000.0,0.676564126948465,0.5520984572202906,7.0,888.1473867893219,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,599_fri_c2_1000_5,ok,5.0,1000.0,0.7061423115720326,0.5053917519281623,17.0,1111.0612914562225,,cos(x1 + exp(x2)) - cos(exp(exp(x1 - exp(x1))))
tuned.DSRRegressor,601_fri_c1_250_5,ok,5.0,250.0,0.5676207163714768,0.6283684889049286,9.0,361.0329463481903,,cos(x1 + x2 + exp(x2*exp(-1)))
tuned.DSRRegressor,602_fri_c3_250_10,ok,10.0,250.0,0.6601781407874004,0.619392702593301,15.0,335.9725410938263,,sin(x4) - sin(x5) - sin(x1 + 2*x2)
tuned.DSRRegressor,603_fri_c0_250_50,ok,50.0,250.0,0.6239627093099942,0.5563403645876317,7.0,799.926157951355,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,604_fri_c4_500_10,ok,10.0,500.0,0.5823012137522993,0.6354133072786124,14.0,1129.4577405452728,,x5 - sin(x1) - sin(x1*x2 + x2)
tuned.DSRRegressor,605_fri_c2_250_25,ok,25.0,250.0,0.5771647664053131,0.6816517616325048,12.0,347.4237902164459,,-cos(x1) + cos(x2) + cos(x1 + exp(x2))
tuned.DSRRegressor,606_fri_c2_1000_10,ok,10.0,1000.0,0.6218293698478876,0.5960954325472935,17.0,1131.219693183899,,-sin(x1 + x2 - exp(x1 - exp(2*x2)))
tuned.DSRRegressor,607_fri_c4_1000_50,ok,50.0,1000.0,0.5605809329244344,0.6649913461107853,5.0,761.7607824802399,,cos(x1 + exp(x2))
tuned.DSRRegressor,608_fri_c3_1000_10,ok,10.0,1000.0,0.6069646280562436,0.6088697343704442,18.0,1119.772203207016,,x5 - sin(x2) - sin(x5) - sin(x1*x2 + x1)
tuned.DSRRegressor,609_fri_c0_1000_5,ok,5.0,1000.0,0.6874898384380967,0.5749547125230632,10.0,1000.8487915992737,,sin(1)*sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,611_fri_c3_100_5,ok,5.0,100.0,0.7481275886252052,0.5311590742125749,15.0,1053.8825299739838,,x5 - sin(x1*exp(x2)) - sin(x1 + x2)
tuned.DSRRegressor,612_fri_c1_1000_5,ok,5.0,1000.0,0.6123374906548452,0.6000426007386621,14.0,356.97409892082214,,cos(x1 - x2*(-x1 + x2) + exp(x2))
tuned.DSRRegressor,613_fri_c3_250_5,ok,5.0,250.0,0.6990689032950737,0.5157428232609143,14.0,821.1198041439056,,x1 - sin(x1) + sin(x4) - sin(x1 + x2)
tuned.DSRRegressor,615_fri_c4_250_10,ok,10.0,250.0,0.5082843831652226,0.5973367933972028,14.0,1118.4328966140747,,x5 - sin(x1) - sin(x1*x2 + x2)
tuned.DSRRegressor,616_fri_c4_500_50,ok,50.0,500.0,0.4620565582874191,0.7139664055036331,5.0,395.3174800872803,,cos(x2 + exp(x1))
tuned.DSRRegressor,617_fri_c3_500_5,ok,5.0,500.0,0.510901753947936,0.6745217280454412,12.0,378.02749371528625,,cos(x2) - cos(x5) + cos(x1 + exp(x2))
tuned.DSRRegressor,618_fri_c3_1000_50,ok,50.0,1000.0,0.5348741492180557,0.70006941306256,5.0,372.8354468345642,,cos(x1 + exp(x2))
tuned.DSRRegressor,620_fri_c1_1000_25,ok,25.0,1000.0,0.42132454377370754,0.7536097846458819,5.0,1059.9781322479248,,cos(x2 + exp(x1))
tuned.DSRRegressor,621_fri_c0_100_10,ok,10.0,100.0,0.6723574493535369,0.5882926671731111,7.0,888.357846736908,,sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,622_fri_c2_1000_50,ok,50.0,1000.0,0.5877829804539958,0.6355032314295371,6.0,1139.5087702274323,,-sin(x1 + x2)
tuned.DSRRegressor,623_fri_c4_1000_10,ok,10.0,1000.0,0.5923625174542837,0.6346166111058249,17.0,1079.6290745735168,,x5 - sin(x3)**2*sin(x5) - sin(x1 + x2)
tuned.DSRRegressor,624_fri_c0_100_5,ok,5.0,100.0,0.4263266344402785,0.7289744117444826,12.0,936.8140473365784,,x2 - sin(x2) + sin(x4) + sin(x1 + x2)
tuned.DSRRegressor,626_fri_c2_500_50,ok,50.0,500.0,0.7119214351407792,0.5139152516563503,15.0,775.8928115367889,,-sin(x1 + x2 - exp(x2 - exp(x2)))
tuned.DSRRegressor,627_fri_c2_500_10,ok,10.0,500.0,0.6888704162274302,0.5604656661357996,12.0,374.5184690952301,,-sin(x1*x2) + cos(x1 + exp(x2))
tuned.DSRRegressor,628_fri_c3_1000_5,ok,5.0,1000.0,0.6509970523320394,0.5613904269975105,17.0,446.42739272117615,,-sin(x1 - x5) - sin(x1*x2 + x2)
