algorithm,dataset,status,n_features,n_rows,r2,rmse,complexity,seconds,error,expression
tuned.EHCRegressor,1027_ESL,ok,4,200,0.8722053788325624,0.5682079996950186,19,24.912468910217285,,(0.321*(x_1+((x_3+(0.56*(((x_0+x_2)*exp(-0.085))+x_2)))*cos(-0.003))))
tuned.EHCRegressor,1028_SWD,ok,10,200,0.2345497244498861,0.7390705762189165,48,82.67739582061768,,sin((x_2/exp(sin(log(exp(cos(cos((0.456-cos(exp(cos((-0.841+exp((x_2/(x_9-sin(exp((sin(x_9)/((exp(-0.321)+((-0.737/x_1)**2))**3))))))))))))))))))))
tuned.EHCRegressor,1029_LEV,ok,4,200,0.6089023072206183,0.5689221832062943,13,68.80576467514038,,((cos(x_3)*x_3)+(x_1+((x_1-x_0)*-0.38)))
tuned.EHCRegressor,1030_ERA,ok,4,200,0.09075830164222609,1.7295679193362359,29,84.8594901561737,,sin((sin(sin(sin((exp(sqrt(x_1))*sin(x_0)))))+sin(((x_1/sqrt(x_1))/(exp((sin(x_2)*0.35))+-0.024)))))
tuned.EHCRegressor,1089_USCrime,ok,13,47,0.8412310872984606,14.511809997170342,7,25.479610681533813,,(0.528*(x_2-x_12))
tuned.EHCRegressor,1096_FacultySalaries,ok,4,50,0.8921391205271005,1.1269546689155279,9,18.87876272201538,,(x_1*sqrt((x_3/x_2)))
tuned.EHCRegressor,1191_BNG_pbc,ok,18,200,0.3114065731742134,772.9321741188627,12,87.25492095947266,,((sin(x_8)*log(-0.669))+(0.273*((x_0+x_10)+x_5)))
tuned.EHCRegressor,1193_BNG_lowbwt,ok,9,200,0.35679806621056376,540.4703965191204,20,64.32954359054565,,(-0.697*(x_0-(sqrt(x_1)-sqrt((log(x_3)-x_7)))))
tuned.EHCRegressor,1196_BNG_pharynx,ok,10,200,0.2504069171392317,359.17690133899686,13,67.2833788394928,,((-0.209*x_7)+sin((x_9-log(sqrt(x_5)))))
tuned.EHCRegressor,1199_BNG_echoMonths,ok,9,200,0.5103393288262728,10.746259772477375,8,101.34551668167114,,((-0.582+(-0.506*x_0))+sin(cos(x_8)))
tuned.EHCRegressor,1201_BNG_breastTumor,ok,9,200,0.0725976565719817,11.456317495110836,5,91.04559135437012,,(0.194*(x_3+x_7))
